Rank	NCBItaxID	SciNameFull	SciName
S	317858	Cyprinid herpesvirus 1	Cyprinid herpesvirus
O1	80811	Cystobacterineae	Cystobacterineae
O2	1751870	unclassified Cytophagales (miscellaneous)	Cytophagales (miscellaneous)
S1	305674	Deerpox virus W-848-83	Deerpox virus W-848-83
S	1309411	Deinococcus soli Cha et al. 2016	Deinococcus soli
S	1286375	delta proteobacterium PSCGC 5342	delta proteobacterium PSCGC
S	1286376	delta proteobacterium PSCGC 5451	delta proteobacterium PSCGC
S	1286374	delta proteobacterium PSCGC 5296	delta proteobacterium PSCGC
P1	68525	delta/epsilon subdivisions	delta/epsilon subdivisions
C2	122706	unclassified Deltaproteobacteria (miscellaneous)	Deltaproteobacteria (miscellaneous)
S1	1121424	Desulfotomaculum arcticum DSM 17038	Desulfotomaculum arcticum
S1	1121439	Desulfovibrio alkalitolerans DSM 16529	Desulfovibrio alkalitolerans
S1	1304872	Desulfovibrio cf. magneticus IFRC170	Desulfovibrio cf.
P2	1803510	DHVE2 group	DHVE2 group
S	1920989	Diabrotica virgifera virgifera virus 3	Diabrotica virgifera
P1	2283796	Diaforarchaea group	Diaforarchaea group
S1	910314	Dialister microaerophilus UPII 345-E	Dialister microaerophilus
S	1868621	Diaphorina citri flavi-like virus	Diaphorina citri
S	111470	Diaporthe ambigua RNA virus 1	Diaporthe ambigua
S	1678170	Diatom colony associated dsRNA virus 10	Diatom colony
S	1675862	Diatraea saccharalis granulovirus	Diatraea saccharalis
K1	451864	Dikarya	Dikarya
S1	1965368	Dinoroseobacter phage vB_DshS-R5C	Dinoroseobacter phage vB_DshS-R5C
G	699180	Dinovernavirus	Dinovernavirus
S	2083300	Diolcogaster facetosa bracovirus	Diolcogaster facetosa
S	2169727	Dioscorea bacilliform RT virus 1	Dioscorea bacilliform
S	2079134	Dishui lake phycodnavirus 1	Dishui lake
D2	2204151	unclassified DNA viruses	DNA viruses
S	2170001	Dolphin mastadenovirus B	Dolphin mastadenovirus
P4	715962	dothideomyceta	dothideomyceta
C1	159987	Dothideomycetes incertae sedis	Dothideomycetes 
C1	451867	Dothideomycetidae	Dothideomycetidae
D1	1783276	DPANN group	DPANN group
S	1574422	Dromedary stool-associated circular ssDNA virus	Dromedary stool-associated
S	2057187	Drosophila innubila nudivirus	Drosophila innubila
S1	1802951	Drosophila unispina virus 1	Drosophila unispina virus 1
D3	79205	unclassified dsDNA phages	dsDNA phages
D3	51368	unclassified dsDNA viruses	dsDNA viruses
G1	2508225	Dumedivirus	Dumedivirus
S1	1264700	Edwardsiella phage MSW-3	Edwardsiella phage MSW-3
S	1891722	Eidolon helvum polyomavirus 1	Eidolon helvum
S	768738	Elephant endotheliotropic herpesvirus 5	Elephant endotheliotropic
S	548914	Elephant endotheliotropic herpesvirus 4	Elephant endotheliotropic
G1	2509481	Embecovirus	Embecovirus
S	650377	endosymbiont of Euscepes postfasciatus	endosymbiont of
S	54396	endosymbiont of Riftia pachyptila	endosymbiont of
S1	1048808	endosymbiont of Riftia pachyptila (vent Ph05)	endosymbiont of
S	54398	endosymbiont of Ridgeia piscesae	endosymbiont of
S1	1303921	endosymbiont of Bathymodiolus septemdierum str. Myojin knoll	endosymbiont of
S	174145	endosymbiont of Bathymodiolus sp.	endosymbiont of
S	1971488	endosymbiont of Pachyrhynchus infernalis	endosymbiont of
S	86106	endosymbiont of Acanthamoeba sp. UWC8	endosymbiont of
S	94785	endosymbiont of Tevnia jerichonana	endosymbiont of
S1	1049564	endosymbiont of Tevnia jerichonana (vent Tica)	endosymbiont of
S	1972134	endosymbiont of Sipalinus gigas	endosymbiont of
S1	1972133	endosymbiont of Rhynchophorus ferrugineus	endosymbiont of
S	243899	endosymbiont 'TC1' of Trimyema compressum	endosymbiont TC1
S1	709484	Enterobacter phage CC31	Enterobacter phage CC31
S1	2070180	Enterobacter phage Ec_L1	Enterobacter phage Ec_L1
S1	1455074	Enterobacter phage PG7	Enterobacter phage PG7
S1	1444288	Enterobacter sp. 5-4	Enterobacter sp. 5-4
S2	1329837	Enterobacter sp. BWH 39	Enterobacter sp. BWH 39
S1	1571816	Enterobacter sp. FB	Enterobacter sp. FB
S1	1329825	Enterobacter sp. MGH 16	Enterobacter sp. MGH 16
S2	1329813	Enterobacter sp. MGH 4	Enterobacter sp. MGH 4
S2	1686389	Enterobacter sp. MGH85	Enterobacter sp. MGH85
S1	1216470	Enterobacter sp. SST3	Enterobacter sp. SST3
O2	305752	unclassified Enterobacterales (miscellaneous)	Enterobacterales (miscellaneous)
S1	1222338	Enterobacteria phage GEC-3S	Enterobacteria phage GEC-3S
S1	697227	Enterobacteria phage IME08	Enterobacteria phage IME08
S1	50948	Enterobacteria phage RB49	Enterobacteria phage RB49
F2	36866	unclassified Enterobacteriaceae (miscellaneous)	Enterobacteriaceae (miscellaneous)
S	693444	Enterobacteriaceae bacterium strain FGI 57	Enterobacteriaceae bacterium strain FGI
S1	1640885	Enterococcus phage EFLK1	Enterococcus phage EFLK1
S1	1747289	Enterococcus phage vB_EfaS_IME196	Enterococcus phage vB_EfaS_IME196
S	1834175	Enterococcus sp. 3C8_DIV0646	Enterococcus sp. 3C8_DIV0646
S	1739492	Enterococcus sp. HMSC061C05	Enterococcus sp. HMSC061C05
F1	10284	Entomopoxvirinae	Entomopoxvirinae
O1	162479	Entylomatales incertae sedis	Entylomatales 
F3	2315857	environmental samples	environmental samples
P1	99260	environmental samples	environmental samples
G1	655656	environmental samples	environmental samples
S	166056	Epinotia aporema granulovirus	Epinotia aporema
S	70600	Epiphyas postvittana nucleopolyhedrovirus	Epiphyas postvittana
C2	122728	unclassified Epsilonproteobacteria (miscellaneous)	Epsilonproteobacteria (miscellaneous)
S	2035399	Eptesicus fuscus gammaherpesvirus	Eptesicus fuscus
S1	1464071	Eptesicus serotinus papillomavirus 1	Eptesicus serotinus
S	420336	Epulopiscium sp. 'N.t. morphotype B'	Epulopiscium sp. N.t. morphotype
S	80341	Equid alphaherpesvirus 3	Equid alphaherpesvirus
S	39637	Equid alphaherpesvirus 8	Equid alphaherpesvirus
S	12657	Equid gammaherpesvirus 2	Equid gammaherpesvirus
S	10371	Equid gammaherpesvirus 5	Equid gammaherpesvirus
S1	67603	Equine adenovirus 2	Equine adenovirus
S	129955	Equine mastadenovirus B	Equine mastadenovirus
S	307444	Erinnyis ello granulovirus	Erinnyis ello
S1	1429768	Erwinia phage Ea35-70	Erwinia phage Ea35-70
S1	1429767	Erwinia phage Ea9-2	Erwinia phage Ea9-2
S1	1564096	Erwinia phage phiEa2809	Erwinia phage phiEa2809
S1	1401669	Erwinia phage PhiEaH1	Erwinia phage PhiEaH1
S1	1029988	Erwinia phage phiEaH2	Erwinia phage phiEaH2
S1	1051674	Erwinia phage vB_Eam-MM7	Erwinia phage vB_Eam-MM7
S1	1883370	Erwinia phage vB_EamM_Asesino	Erwinia phage vB_EamM_Asesino
S1	2060127	Erwinia phage vB_EamM_Desertfox	Erwinia phage vB_EamM_Desertfox
S1	1852641	Erwinia phage vB_EamP_Frozen	Erwinia phage vB_EamP_Frozen
F2	544447	unclassified Erysipelotrichaceae (miscellaneous)	Erysipelotrichaceae (miscellaneous)
G	40121	Erythroparvovirus	Erythroparvovirus
S1	1391428	Escherichia phage 4MG	Escherichia phage 4MG
S1	1495286	Escherichia phage e4/1c	Escherichia phage e4/1c
S1	1258572	Escherichia phage EC1-UPM	Escherichia phage EC1-UPM
S1	1527514	Escherichia phage EK99P-1	Escherichia phage EK99P-1
S1	1131317	Escherichia phage FV3	Escherichia phage FV3
S1	1147142	Escherichia phage HK578	Escherichia phage HK578
S1	1054834	Escherichia phage ime09	Escherichia phage ime09
S1	1340750	Escherichia phage JH2	Escherichia phage JH2
S1	1837930	Escherichia phage MX01	Escherichia phage MX01
S	1572753	Escherichia phage P483	Escherichia phage P483
S1	926589	Escherichia phage PhaxI	Escherichia phage PhaxI
S1	50948	Escherichia phage RB49	Escherichia phage RB49
S1	1718606	Escherichia phage SUSP1	Escherichia phage SUSP1
S1	1141141	Escherichia phage vB_EcoM_ACG-C40	Escherichia phage vB_EcoM_ACG-C40
S1	1567027	Escherichia phage vB_EcoM_VR20	Escherichia phage vB_EcoM_VR20
S1	1567029	Escherichia phage vB_EcoM_VR26	Escherichia phage vB_EcoM_VR26
S1	1541883	Escherichia phage vB_EcoM-ep3	Escherichia phage vB_EcoM-ep3
S	1920996	Escherichia virus E41c	Escherichia virus E41c
S	1965379	Escherichia virus JH2	Escherichia virus JH2
S	1862978	Etheostoma fonticola aquareovirus	Etheostoma fonticola
S1	1321814	Eubacterium brachy ATCC 33089	Eubacterium brachy
S1	883109	Eubacterium infirmum F0142	Eubacterium infirmum
S1	888721	Eubacterium minutum ATCC 700079	Eubacterium minutum
S1	1161902	Eubacterium nodatum ATCC 33099	Eubacterium nodatum
S1	592031	Eubacterium saphenum ATCC 49989	Eubacterium saphenum
S1	888727	Eubacterium sulci ATCC 35585	Eubacterium sulci
F1	1636616	Eucampyvirinae	Eucampyvirinae
S	307467	Euproctis pseudoconspersa nucleopolyhedrovirus	Euproctis pseudoconspersa
C1	451871	Eurotiomycetidae	Eurotiomycetidae
S1	671987	Exserohilum turcica Et28A	Exserohilum turcica
S1	748224	Faecalibacterium cf. prausnitzii KLE1255	Faecalibacterium cf.
S1	1641896	Falcovirus A1	Falcovirus A1
S	1965074	Fathead minnow nidovirus 1	Fathead minnow
S1	889873	Fathead minnow nidovirus	Fathead minnow
S1	1401263	Fathead minnow picornavirus	Fathead minnow
D1	1783270	FCB group	FCB group
S	39420	Feldmannia species virus	Feldmannia species
S	10334	Felid alphaherpesvirus 1	Felid alphaherpesvirus
S	11768	Feline leukemia virus	Feline leukemia
S	1128427	filamentous cyanobacterium ESFC-1	filamentous cyanobacterium
S	2107702	filamentous cyanobacterium CCT1	filamentous cyanobacterium
S	2107706	filamentous cyanobacterium Phorm 6	filamentous cyanobacterium
S	2107705	filamentous cyanobacterium Phorm 46	filamentous cyanobacterium
P2	84086	unclassified Firmicutes sensu stricto (miscellaneous)	Firmicutes (miscellaneous)
F1	2169595	Firstpapillomavirinae	Firstpapillomavirinae
O2	403978	unclassified Flavobacteriales (miscellaneous)	Flavobacteriales (miscellaneous)
S1	908819	Flavobacterium phage FCL-2	Flavobacterium phage FCL-2
S2	984129	Francisella cf. novicida Fx1	Francisella cf.
S	1981171	Francisella endosymbiont of Ornithodoros moubata	Francisella endosymbiont
S	1306538	Frankia symbiont of Coriaria arborea	Frankia symbiont
S	656024	Frankia symbiont of Datisca glomerata	Frankia symbiont
S	1306542	Frankia symbiont of Coriaria ruscifolia	Frankia symbiont
S	1306540	Frankia symbiont of Coriaria myrtifolia	Frankia symbiont
O2	1920255	unclassified Frankiales (miscellaneous)	Frankiales (miscellaneous)
S	1343901	Fruit bat alphaherpesvirus 1	Fruit bat
K	4751	Fungi	Fungi
K1	112252	Fungi incertae sedis	Fungi 
G1	450425	Fusarium incarnatum-equiseti species complex	Fusarium incarnatum-equiseti
G1	569360	Fusarium sambucinum species complex	Fusarium sambucinum
G1	232080	Fusarium solani species complex	Fusarium solani
S	10386	Gallid alphaherpesvirus 1	Gallid alphaherpesvirus
S	35250	Gallid alphaherpesvirus 3	Gallid alphaherpesvirus
S	1746059	Gamboa mosquito virus	Gamboa mosquito
S1	35313	Gamboa virus	Gamboa virus
F1	10374	Gammaherpesvirinae	Gammaherpesvirinae
F2	35249	unclassified Gammaherpesvirinae	Gammaherpesvirinae
C2	33811	unclassified Gammaproteobacteria (miscellaneous)	Gammaproteobacteria (miscellaneous)
S1	54290	GB virus C	GB virus C
S	2082668	Gigaspora margarita mitovirus 4	Gigaspora margarita
P1	214504	Glomeromycotina	Glomeromycotina
S1	379529	Glossina pallidipes salivary gland hypertrophy virus	Glossina pallidipes
S	419435	Glypta fumiferanae ichnovirus	Glypta fumiferanae
S	116759	Glyptapanteles indiensis bracovirus	Glyptapanteles indiensis
F1	686565	Gokushovirinae	Gokushovirinae
F2	1385657	unclassified Gokushovirinae	Gokushovirinae
S1	1887641	Gordonia phage Bantam	Gordonia phage Bantam
S1	1821549	Gordonia phage BaxterFox	Gordonia phage BaxterFox
S1	1838063	Gordonia phage Bowser	Gordonia phage Bowser
S1	1838066	Gordonia phage Cozz	Gordonia phage Cozz
S1	1821552	Gordonia phage Emalyn	Gordonia phage Emalyn
S1	2047872	Gordonia phage Gustav	Gordonia phage Gustav
S1	1821554	Gordonia phage Hotorobo	Gordonia phage Hotorobo
S1	2047873	Gordonia phage Mahdia	Gordonia phage Mahdia
S1	1838074	Gordonia phage OneUp	Gordonia phage OneUp
S1	1838075	Gordonia phage Orchid	Gordonia phage Orchid
S1	2182349	Gordonia phage Sour	Gordonia phage Sour
S1	1821565	Gordonia phage Yeezy	Gordonia phage Yeezy
S1	1821566	Gordonia phage Yvonnetastic	Gordonia phage Yvonnetastic
S1	1887656	Gordonia phage Zirinka	Gordonia phage Zirinka
S	191436	Gremmeniella abietina RNA virus MS1	Gremmeniella abietina
S	1027232	Groundnut ringspot and Tomato chlorotic spot virus reassortant	Groundnut ringspot
S	432587	Gryllus bimaculatus nudivirus	Gryllus bimaculatus
F1	1910976	Guernseyvirinae	Guernseyvirinae
S1	102793	H5N1 subtype	H5N1 subtype
S	1513231	Haliotid herpesvirus 1	Haliotid herpesvirus
S1	1336250	Hallella seregens ATCC 51272	Hallella seregens
O2	38063	unclassified Halobacteriales (miscellaneous)	Halobacteriales (miscellaneous)
O2	2678336	unclassified Haloferacales (miscellaneous)	Haloferacales (miscellaneous)
S1	1227465	Halorubrum californiensis DSM 19288	Halorubrum californiensis
S1	1156720	Halorubrum pleomorphic virus 3	Halorubrum pleomorphic virus 3
F1	92682	Halothece cluster	Halothece cluster
D4	128706	Haloviruses	Haloviruses
G2	339351	unclassified Hantavirus	Hantavirus
P1	2497570	Haploviricotina	Haploviricotina
S1	1987722	Harrier picornavirus 1	Harrier picornavirus
S	1965093	Hedgehog coronavirus 1	Hedgehog coronavirus
S1	1208236	Helicobacter phage KHP30	Helicobacter phage KHP30
S	2020249	Helicobacter sp. 'CLO3_human'	Helicobacter sp. CLO3_human
S	51313	Helicoverpa armigera nucleopolyhedrovirus	Helicoverpa armigera
S	489830	Helicoverpa armigera granulovirus	Helicoverpa armigera
S1	1128424	Helicoverpa zea nudivirus 2	Helicoverpa zea
S	113366	Heliothis virescens ascovirus 3a	Heliothis virescens
S1	260797	Heliothis virescens ascovirus 3e	Heliothis virescens
S1	1246651	Heliothis virescens ascovirus 3g	Heliothis virescens
S1	328614	Heliothis virescens ascovirus 3f	Heliothis virescens
S	29250	Heliothis zea nudivirus	Heliothis zea
S	592206	Helleborus net necrosis virus	Helleborus net
O1	159639	Helotiales incertae sedis	Helotiales 
S1	1367203	Hemileuca sp. nucleopolyhedrovirus	Hemileuca sp. nucleopolyhedrovirus
S	2560521	Hemileuca species nucleopolyhedrovirus	Hemileuca species
S	10407	Hepatitis B virus	Hepatitis B
S1	41856	Hepatitis C virus genotype 1	Hepatitis C virus genotype
S1	33746	Hepatitis C virus genotype 5	Hepatitis C virus genotype
G1	256003	Heterobasidion annosum species complex	Heterobasidion annosum
F1	2501963	Hexponivirinae	Hexponivirinae
G1	2509486	Hibecovirus	Hibecovirus
S1	128710	His2 virus	His2 virus
S	264076	Horseradish latent virus	Horseradish latent
S	1923249	Hubei tetragnatha maxillosa virus 7	Hubei tetragnatha
S1	28285	Human adenovirus 5	Human adenovirus
S	10298	Human alphaherpesvirus 1	Human alphaherpesvirus
S	10310	Human alphaherpesvirus 2	Human alphaherpesvirus
S	10335	Human alphaherpesvirus 3	Human alphaherpesvirus
S	10372	Human betaherpesvirus 7	Human betaherpesvirus
S	10359	Human betaherpesvirus 5	Human betaherpesvirus
S	32603	Human betaherpesvirus 6A	Human betaherpesvirus
S	32604	Human betaherpesvirus 6B	Human betaherpesvirus
S1	1511883	Human bocavirus 4 NI	Human bocavirus
S	290028	Human coronavirus HKU1	Human coronavirus
F2	206037	Human endogenous retroviruses	Human endogenous
S	45617	Human endogenous retrovirus K	Human endogenous
S1	166122	Human endogenous retrovirus K113	Human endogenous
S	10376	Human gammaherpesvirus 4	Human gammaherpesvirus
S	37296	Human gammaherpesvirus 8	Human gammaherpesvirus
S1	12509	Human herpesvirus 4 type 2	Human herpesvirus
S	129951	Human mastadenovirus C	Human mastadenovirus
S	130308	Human mastadenovirus E	Human mastadenovirus
S	11250	Human orthopneumovirus	Human orthopneumovirus
S1	333763	Human papillomavirus type 32	Human papillomavirus
S1	1434782	Human papillomavirus 175	Human papillomavirus
F2	173087	Human papillomavirus types	Human papillomavirus
S	2093789	Human papillomavirus type 203	Human papillomavirus
S1	931210	Human papillomavirus type 129	Human papillomavirus
S1	40540	Human papillomavirus type 60	Human papillomavirus
S1	40538	Human papillomavirus type 48	Human papillomavirus
S	746830	Human polyomavirus 6	Human polyomavirus
S	1891726	Human polyomavirus 5	Human polyomavirus
S	1891727	Human polyomavirus 8	Human polyomavirus
S	762905	Hyperthermophilic Archaeal Virus 1	Hyperthermophilic Archaeal
S	28288	Hyphantria cunea nucleopolyhedrovirus	Hyphantria cunea
C1	222543	Hypocreomycetidae	Hypocreomycetidae
S	265522	Hyposoter fugitivus ichnovirus	Hyposoter fugitivus
S	10401	Ictalurid herpesvirus 1	Ictalurid herpesvirus
S	508441	Ictalurid herpesvirus 2	Ictalurid herpesvirus
S	11320	Influenza A virus	Influenza A
S2	93838	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))	Influenza A virus (A/goose/Guangdong/1/1996(H5N1))
S	1301280	Invertebrate iridovirus 25	Invertebrate iridovirus
S1	551895	Iodobacter phage PhiPLPE	Iodobacter phage PhiPLPE
S	294365	Israeli acute paralysis virus	Israeli acute
S	1196420	Italian clover phyllody phytoplasma	Italian clover
S1	1196421	Italian clover phyllody phytoplasma str. MA1	Italian clover
S	11746	Jaagsiekte sheep retrovirus	Jaagsiekte sheep
S	1198450	Jacquemontia mosaic Yucatan virus	Jacquemontia mosaic
F1	2560073	Jasinkavirinae	Jasinkavirinae
S1	1332248	Karang Sari virus	Karang Sari
G1	2509490	Karsalivirus	Karsalivirus
S	1859492	Kaumoebavirus	Kaumoebavirus
S	95610	Klebsiella cf. planticola B43	Klebsiella cf.
S1	1439894	Klebsiella phage K64-1	Klebsiella phage K64-1
S1	674082	Klebsiella phage KP32	Klebsiella phage KP32
S1	1852657	Klebsiella phage KpV475	Klebsiella phage KpV475
S1	1194091	Klebsiella phage NTUH-K2044-K1-1	Klebsiella phage NTUH-K2044-K1-1
S1	1147094	Klebsiella phage vB_KleM_RaK2	Klebsiella phage vB_KleM_RaK2
S1	1296122	Kwoniella mangroviensis CBS 8507	Kwoniella mangroviensis
S1	575593	Lachnospiraceae oral taxon 107 str. F0167	Lachnospiraceae oral taxon 107
S1	1399942	Lactobacillus phage phiLdb	Lactobacillus phage phiLdb
S	38766	Lagos bat lyssavirus	Lagos bat
S	1685766	Lake Sarah-associated circular virus-38	Lake Sarah-associated
S	1685757	Lake Sarah-associated circular virus-3	Lake Sarah-associated
S	1983561	Lake Sinai Virus NE	Lake Sinai
S	1642929	Lambdina fiscellaria nucleopolyhedrovirus	Lambdina fiscellaria
S	1566869	Laodelphax striatellus picorna-like virus 2	Laodelphax striatellus
S	45224	Leek white stripe virus	Leek white
S	1381104	Leopards Hill virus	Leopards Hill
P3	716546	leotiomyceta	leotiomyceta
C1	221903	Leotiomycetes incertae sedis	Leotiomycetes 
S	481315	Leporid alphaherpesvirus 4	Leporid alphaherpesvirus
S	1922337	Leptolyngbya sp. 'hensonii'	Leptolyngbya sp. hensonii
S	1385935	Leptolyngbya sp. Heron Island J	Leptolyngbya sp. Heron Island
S	1925019	Leptonychotes weddellii polyomavirus 1	Leptonychotes weddellii
G1	655606	Leptospirillum sp. Group I	Leptospirillum sp. Group I
G1	261385	Leptospirillum sp. Group II	Leptospirillum sp. Group II
S	1660083	Leptospirillum sp. Group II 'CF-1'	Leptospirillum sp. Group II
G1	261386	Leptospirillum sp. Group III	Leptospirillum sp. Group III
S	1985698	Lettuce big-vein associated varicosavirus	Lettuce big-vein
S	2200955	Lettuce chordovirus 1	Lettuce chordovirus
S1	1161930	Leuconostoc phage Lmd1	Leuconostoc phage Lmd1
S	722755	Lilac leaf chlorosis virus	Lilac leaf
S	12173	Lily symptomless virus	Lily symptomless
S	2282644	Lolium perenne-associated virus	Lolium perenne-associated
S	2560562	Lonomia obliqua nucleopolyhedrovirus	Lonomia obliqua
S1	134394	Lonomia obliqua multiple nucleopolyhedrovirus	Lonomia obliqua
S	2560563	Lophuromys jeilongvirus 1	Lophuromys jeilongvirus
F1	1655488	Luna cluster	Luna cluster
F2	1655489	Luna-1 subcluster	Luna-1 subcluster
S1	1134579	Lunk virus NKS-1	Lunk virus NKS-1
S	10449	Lymantria dispar multiple nucleopolyhedrovirus	Lymantria dispar
S	256729	Lymphocystis disease virus - isolate China	Lymphocystis disease virus -
S1	1846169	Macaca nemestrina herpesvirus 7	Macaca nemestrina
S	10325	Macacine alphaherpesvirus 1	Macacine alphaherpesvirus
S	2560568	Macacine betaherpesvirus 9	Macacine betaherpesvirus
S	47929	Macacine betaherpesvirus 3	Macacine betaherpesvirus
S	45455	Macacine gammaherpesvirus 4	Macacine gammaherpesvirus
S	137443	Macropodid alphaherpesvirus 1	Macropodid alphaherpesvirus
S	1904881	Macroptilium common mosaic virus	Macroptilium common
S	1159903	Magpie-robin coronavirus HKU18	Magpie-robin coronavirus
S	38012	Malacosoma neustria nucleopolyhedrovirus	Malacosoma neustria
S	78219	Mamestra brassicae multiple nucleopolyhedrovirus	Mamestra brassicae
S	1979162	Mammalian rubulavirus 5	Mammalian rubulavirus
F1	2560074	Mammantavirinae	Mammantavirinae
S	312284	marine actinobacterium PHSC20C1	marine actinobacterium
S	247639	marine gamma proteobacterium HTCC2080	marine gamma proteobacterium
S	247634	marine gamma proteobacterium HTCC2148	marine gamma proteobacterium
S	247633	marine gamma proteobacterium HTCC2143	marine gamma proteobacterium
S1	2315692	Marine RNA virus BC-2	Marine RNA virus BC-2
S	1307954	Maruca vitrata nucleopolyhedrovirus	Maruca vitrata
O1	1255046	Massarineae	Massarineae
F1	2169599	Mccleskeyvirinae	Mccleskeyvirinae
F3	199891	mealybug secondary endosymbionts	mealybug secondary
S1	1756191	Megabat bufavirus 1	Megabat bufavirus
S	83191	Melanoplus sanguinipes entomopoxvirus	Melanoplus sanguinipes
S	11987	Melon necrotic spot virus	Melon necrotic
S	1919071	Menghai rhabdovirus	Menghai rhabdovirus
G1	2509494	Merbecovirus	Merbecovirus
S1	493803	Merkel cell polyomavirus	Merkel cell
O1	2499400	Mesnidovirineae	Mesnidovirineae
P1	2283794	Methanomada group	Methanomada group
S	1483596	Methanosarcina sp. 2.H.T.1A.15	Methanosarcina sp. 2.H.T.1A.15
S1	582744	Methylovorus glucosetrophus SIP3-4	Methylovorus glucosetrophus
S1	2079583	Microbacterium phage Hamlet	Microbacterium phage Hamlet
S1	2079584	Microbacterium phage Ilzat	Microbacterium phage Ilzat
S1	446529	Microbacterium phage Min1	Microbacterium phage Min1
S1	2099444	Microbacterium phage Pikmin	Microbacterium phage Pikmin
S	2103230	Microbacterium sp. str. 'China'	Microbacterium sp. China
O2	99482	unclassified Micrococcales (miscellaneous)	Micrococcales (miscellaneous)
S	338781	Micromonas pusilla reovirus	Micromonas pusilla
S	53988	Microplitis demolitor bracovirus	Microplitis demolitor
P1	469895	Microsporidia incertae sedis	Microsporidia 
O1	162477	Microstromatales incertae sedis	Microstromatales 
S	2082949	Microvirga sp. 17 mud 1-3	Microvirga sp. 17 mud
S	208434	Milkweed yellows phytoplasma	Milkweed yellows
S1	1196417	Milkweed yellows phytoplasma str. MW1	Milkweed yellows
G	699182	Mimoreovirus	Mimoreovirus
S1	10794	Minute virus of mice	Minute virus of mice
S	2072024	Mocis latipes granulovirus	Mocis latipes
S1	1474807	Mojiang virus	Mojiang virus
S	10279	Molluscum contagiosum virus	Molluscum contagiosum
S1	10280	Molluscum contagiosum virus subtype 1	Molluscum contagiosum virus subtype
O1	2499401	Monidovirineae	Monidovirineae
F1	2508223	Mononivirinae	Mononivirinae
G1	2676739	unclassified Moorella (in: Bacteria)	Moorella (in:
F1	42857	Moorella group	Moorella group
G1	2676694	unclassified Morganella (in: Bacteria)	Morganella (in:
P1	1137986	Mortierellomycotina	Mortierellomycotina
S1	1481453	Mosavirus A2	Mosavirus A2
S1	1911442	Mosquito dicistrovirus	Mosquito dicistrovirus
S	2083199	Mosso das Pedras virus	Mosso das
S1	2116559	Mount Mabu Lophuromys virus 1	Mount Mabu
S	11757	Mouse mammary tumor virus	Mouse mammary
O1	1344963	Mucorineae	Mucorineae
P1	451507	Mucoromycotina	Mucoromycotina
S	304399	Mule deerpox virus	Mule deerpox
S	10366	Murid betaherpesvirus 1	Murid betaherpesvirus
S	28304	Murid betaherpesvirus 2	Murid betaherpesvirus
S	33708	Murid gammaherpesvirus 4	Murid gammaherpesvirus
S1	1324261	Mycobacterium [tuberculosis] TKK-01-0051	Mycobacterium [tuberculosis]
S1	1327762	Mycobacterium phage Astraea	Mycobacterium phage Astraea
S1	1647306	Mycobacterium phage Baee	Mycobacterium phage Baee
S1	1486424	Mycobacterium phage Bernal13	Mycobacterium phage Bernal13
S1	1698252	Mycobacterium phage BrownCNA	Mycobacterium phage BrownCNA
S1	1034130	Mycobacterium phage ChrisnMich	Mycobacterium phage ChrisnMich
S1	1305710	Mycobacterium phage FF47	Mycobacterium phage FF47
S1	1429905	Mycobacterium phage JAMaL	Mycobacterium phage JAMaL
S1	543152	Mycobacterium phage Nigel	Mycobacterium phage Nigel
S1	543153	Mycobacterium phage Predator	Mycobacterium phage Predator
S1	205874	Mycobacterium phage Rosebush	Mycobacterium phage Rosebush
S1	546807	Mycobacterium phage ScottMcG	Mycobacterium phage ScottMcG
S1	1089137	Mycobacterium phage Stinger	Mycobacterium phage Stinger
S1	1034118	Mycobacterium phage Switzer	Mycobacterium phage Switzer
S1	1032895	Mycobacterium phage Timshel	Mycobacterium phage Timshel
S1	1071503	Mycobacterium phage Trixie	Mycobacterium phage Trixie
S1	1305710	Mycobacterium phage vB_MapS_FF47	Mycobacterium phage vB_MapS_FF47
S1	1647301	Mycobacterium phage Vincenzo	Mycobacterium phage Vincenzo
S1	373415	Mycobacterium phage Wildcat	Mycobacterium phage Wildcat
S1	1034151	Mycobacterium phage Zemanar	Mycobacterium phage Zemanar
S	1638774	Mycobacterium sp. UM_3	Mycobacterium sp. UM_3
S	1866905	Mycolicibacterium sp. (ex Dasyatis americana)	Mycolicibacterium sp. (ex Dasyatis
S	1749074	Mycoplasma sp. (ex Biomphalaria glabrata)	Mycoplasma sp. (ex Biomphalaria
G1	2509500	Myotacovirus	Myotacovirus
S	2501927	Myotis ricketti alphacoronavirus Sax-2011	Myotis ricketti
S	1179664	Mythimna separata entomopoxvirus	Mythimna separata
S1	1293572	Mythimna separata entomopoxvirus 'L'	Mythimna separata
S	2169746	Mythimna unipuncta granulovirus B	Mythimna unipuncta
S	447897	Mythimna unipuncta nucleopolyhedrovirus	Mythimna unipuncta
S1	49964	Myxococcus phage Mx8	Myxococcus phage Mx8
S	1980526	Nairobi sheep disease orthonairovirus	Nairobi sheep
S1	194540	Nairobi sheep disease virus	Nairobi sheep
G1	1340802	unclassified Nairovirus	Nairovirus
G1	600669	Nakaseomyces/Candida clade	Nakaseomyces/Candida clade
S1	325676	Nam Dinh virus	Nam Dinh
G1	2509501	Namcalivirus	Namcalivirus
O1	224462	Nannocystineae	Nannocystineae
S	249151	Neodiprion lecontei nucleopolyhedrovirus	Neodiprion lecontei
