#Classification	SRR061192.report.rspm.kraken	SRR061294.report.rspm.kraken	SRR061320.report.rspm.kraken	SRR061365.report.rspm.kraken	SRR061562.report.rspm.kraken	SRR062083.report.rspm.kraken	SRR062298.report.rspm.kraken	SRR062299.report.rspm.kraken	SRR063517.report.rspm.kraken	SRR1804664.report.rspm.kraken	SRR1804823.report.rspm.kraken	SRR512767.report.rspm.kraken	SRR513165.report.rspm.kraken	SRR513768.report.rspm.kraken	SRR513775.report.rspm.kraken	SRR513828.report.rspm.kraken	SRR514202.report.rspm.kraken	SRR514239.report.rspm.kraken	SRR514306.report.rspm.kraken	SRR514329.report.rspm.kraken
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Oligoflexales|f__Oligoflexaceae|g__Oligoflexus|s__Oligoflexus_tunisiensis	0	0	0	0	4	4	8	0	2	2	0	1	2	0	1	0	0	2	1	0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Oligoflexales|f__Pseudobacteriovoracaceae	1	0	2	1	2	0	1	1	0	0	0	0	0	1	6	0	1	3	5	4
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Oligoflexales|f__Pseudobacteriovoracaceae|g__Pseudobacteriovorax	1	0	2	1	2	0	1	1	0	0	0	0	0	1	6	0	1	3	5	4
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Oligoflexales|f__Pseudobacteriovoracaceae|g__Pseudobacteriovorax|s__Pseudobacteriovorax_antillogorgiicola	1	0	2	1	2	0	1	1	0	0	0	0	0	1	6	0	1	3	5	4
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales	2	4	3	2	10	0	1	1	0	2	1	0	0	1	1	0	24	1	0	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae	1	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae|g__Silvanigrella	1	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|f__Silvanigrellaceae|g__Silvanigrella|s__Silvanigrella_aquatica	1	0	0	2	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Silvanigrellales|s__Silvanigrellales_bacterium_RF1110005	1	4	3	0	10	0	1	0	0	1	1	0	0	0	1	0	24	0	0	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales	2	4	13	4	12	8	22	8	3	14	6	6	1	24	10	3	5	2	4	3
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae	2	4	13	4	12	8	22	8	3	14	6	6	1	24	10	3	5	2	4	3
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio	2	4	13	4	12	8	22	8	3	14	6	6	1	24	10	3	5	2	4	3
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio|s__Bdellovibrio_exovorus	0	0	2	0	1	1	0	1	0	0	1	0	0	1	0	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio|s__Bdellovibrio_sp._SKB1291214	0	3	0	0	3	0	0	6	1	0	0	1	0	0	7	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bdellovibrionales|f__Bdellovibrionaceae|g__Bdellovibrio|s__Bdellovibrio_bacteriovorus	2	1	11	4	8	7	22	1	2	14	5	5	1	23	3	1	5	2	4	3
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales	28	16	23	5	15	10	7	5	4	4	5	6	14	4	7	9	25	9	11	10
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Halobacteriovoraceae	1	2	14	0	2	2	3	1	3	1	0	2	5	2	2	6	5	2	2	3
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Halobacteriovoraceae|g__Halobacteriovorax	1	2	14	0	2	2	3	1	3	1	0	2	5	2	2	6	5	2	2	3
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Halobacteriovoraceae|g__Halobacteriovorax|s__Halobacteriovorax_sp._BALOs_7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Halobacteriovoraceae|g__Halobacteriovorax|s__Halobacteriovorax_sp._HLS	0	0	0	0	0	0	2	0	1	0	0	1	0	1	0	2	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Halobacteriovoraceae|g__Halobacteriovorax|s__Halobacteriovorax_marinus	0	1	13	0	2	0	1	1	1	1	0	1	4	1	0	2	4	1	1	2
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Halobacteriovoraceae|g__Halobacteriovorax|s__Halobacteriovorax_sp._DA5	1	1	0	0	0	1	0	0	0	0	0	0	1	0	1	0	1	1	1	0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae	27	14	8	3	13	8	4	4	1	3	5	4	9	2	5	3	20	7	9	7
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae|g__Bacteriovorax	27	14	8	3	13	8	4	4	1	3	5	4	9	2	5	3	20	7	9	7
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae|g__Bacteriovorax|s__Bacteriovorax_sp._DB6_IX	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	3
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae|g__Bacteriovorax|s__Bacteriovorax_sp._BAL6_X	0	0	0	1	10	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae|g__Bacteriovorax|s__Bacteriovorax_sp._Seq25_V	0	6	0	0	0	3	3	2	0	1	0	0	3	0	0	0	0	1	0	2
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae|g__Bacteriovorax|s__Bacteriovorax_stolpii	1	0	0	1	2	1	0	0	0	1	2	3	2	0	2	0	4	4	8	0
k__Bacteria|p__Proteobacteria|c__Oligoflexia|o__Bacteriovoracales|f__Bacteriovoracaceae|g__Bacteriovorax|s__Bacteriovorax_sp._BSW11_IV	26	8	8	1	1	1	0	2	0	1	2	0	2	2	3	3	16	2	1	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria	5882	2637	6015	10577	6927	8958	3212	1280	5583	9006	3608	13428	3031	7379	6731	23659	3568	3709	9912	5433
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Candidatus_Micropelagos	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Candidatus_Micropelagos|s__Candidatus_Micropelagos_thuwalensis	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	2	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__SAR116_cluster_alpha_proteobacterium_HIMB100	0	0	0	0	0	0	3	0	1	0	0	1	1	0	0	1	0	1	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodothalassiales	0	0	0	2	1	1	0	0	0	3	1	3	2	0	2	0	0	2	4	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodothalassiales|f__Rhodothalassiaceae	0	0	0	2	1	1	0	0	0	3	1	3	2	0	2	0	0	2	4	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodothalassiales|f__Rhodothalassiaceae|g__Rhodothalassium	0	0	0	2	1	1	0	0	0	3	1	3	2	0	2	0	0	2	4	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodothalassiales|f__Rhodothalassiaceae|g__Rhodothalassium|s__Rhodothalassium_salexigens	0	0	0	2	1	1	0	0	0	3	1	3	2	0	2	0	0	2	4	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__alpha_proteobacterium_LLX12A	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__alpha_proteobacterium_Mf_1.05b.01	0	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	4	0	1	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__alpha_proteobacterium_AAP38	0	0	0	2	2	2	0	0	2	0	0	3	2	0	0	0	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__alpha_proteobacterium_L41A	0	0	0	20	0	1	0	0	1	1	0	0	0	23	2	0	0	1	14	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Micavibrio	0	0	1	1	0	6	0	0	0	1	0	4	1	1	0	0	2	8	6	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|g__Micavibrio|s__Micavibrio_aeruginosavorus	0	0	1	1	0	6	0	0	0	1	0	4	1	1	0	0	2	8	6	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__Alphaproteobacteria_bacterium_WS11	0	0	2	0	1	1	0	0	3	1	1	0	0	1	2	5	0	0	1	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__alpha_proteobacterium_IMCC14465	0	1	1	0	20	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__alpha_proteobacterium_AAP81b	0	1	1	2	4	5	1	0	2	0	0	1	0	1	0	0	2	3	1	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|s__alpha_proteobacterium_U9-1i	0	2	2	2	3	5	1	0	0	117	0	0	3	0	0	0	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Minwuiales	1	0	2	17	1	2	0	1	3	1	0	1	0	1	1	0	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Minwuiales|f__Minwuiaceae	1	0	2	17	1	2	0	1	3	1	0	1	0	1	1	0	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Minwuiales|f__Minwuiaceae|g__Minwuia	1	0	2	17	1	2	0	1	3	1	0	1	0	1	1	0	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Minwuiales|f__Minwuiaceae|g__Minwuia|s__Minwuia_thermotolerans	1	0	2	17	1	2	0	1	3	1	0	1	0	1	1	0	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sneathiellales	2	2	3	7	4	2	0	0	0	2	0	0	1	1	5	1	1	3	8	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sneathiellales|f__Sneathiellaceae	2	2	3	7	4	2	0	0	0	2	0	0	1	1	5	1	1	3	8	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sneathiellales|f__Sneathiellaceae|g__Sneathiella	0	0	0	1	3	0	0	0	0	1	0	0	0	0	1	1	0	0	7	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sneathiellales|f__Sneathiellaceae|g__Sneathiella|s__Sneathiella_glossodoripedis	0	0	0	1	3	0	0	0	0	1	0	0	0	0	1	1	0	0	7	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sneathiellales|f__Sneathiellaceae|g__Oceanibacterium	2	2	3	6	1	2	0	0	0	1	0	0	1	1	4	0	1	3	1	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sneathiellales|f__Sneathiellaceae|g__Oceanibacterium|s__Oceanibacterium_hippocampi	2	2	3	6	1	2	0	0	0	1	0	0	1	1	4	0	1	3	1	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales	2	1	10	6	6	11	3	0	3	8	0	3	5	1	2	4	1	3	1	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Magnetococcaceae	0	0	4	5	5	11	2	0	3	4	0	3	0	1	1	4	1	2	1	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Magnetococcaceae|g__Magnetococcus	0	0	1	2	5	1	0	0	2	3	0	1	0	1	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Magnetococcaceae|g__Magnetococcus|s__Magnetococcus_marinus	0	0	1	2	5	1	0	0	2	3	0	1	0	1	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Magnetococcaceae|g__Magnetofaba	0	0	3	3	0	10	2	0	1	1	0	2	0	0	1	4	1	2	1	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Magnetococcaceae|g__Magnetofaba|s__Magnetofaba_australis	0	0	3	3	0	10	2	0	1	1	0	2	0	0	1	4	1	2	1	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Candidatus_Magnetaquicoccaceae	2	1	6	1	1	0	1	0	0	4	0	0	5	0	1	0	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Candidatus_Magnetaquicoccaceae|g__Candidatus_Magnetaquicoccus	2	1	6	1	1	0	1	0	0	4	0	0	5	0	1	0	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Magnetococcales|f__Candidatus_Magnetaquicoccaceae|g__Candidatus_Magnetaquicoccus|s__Candidatus_Magnetaquicoccus_inordinatus	2	1	6	1	1	0	1	0	0	4	0	0	5	0	1	0	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales	3	2	2	6	5	12	8	1	6	3	2	10	1	3	6	8	1	4	0	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae	3	2	2	6	5	12	8	1	6	3	2	10	1	3	6	8	1	4	0	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae|g__Amphiplicatus	0	0	0	2	0	0	1	0	1	2	0	7	0	1	5	0	1	3	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae|g__Amphiplicatus|s__Amphiplicatus_metriothermophilus	0	0	0	2	0	0	1	0	1	2	0	7	0	1	5	0	1	3	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae|g__Marinicaulis	0	1	0	2	0	1	3	0	1	0	1	2	1	2	0	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae|g__Marinicaulis|s__Marinicaulis_flavus	0	1	0	2	0	1	3	0	1	0	1	2	1	2	0	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae|g__Parvularcula	3	1	2	2	5	11	4	1	4	1	1	1	0	0	1	7	0	1	0	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae|g__Parvularcula|s__Parvularcula_bermudensis	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae|g__Parvularcula|s__Parvularcula_oceani	1	0	1	2	1	8	1	0	4	1	1	0	0	0	1	7	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Parvularculales|f__Parvularculaceae|g__Parvularcula|s__Parvularcula_sp._SM1705	2	1	0	0	4	1	3	1	0	0	0	1	0	0	0	0	0	1	0	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales	4	3	4	4	29	4	2	1	3	4	44	23	4	18	23	16	1	3	16	18
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae	4	3	4	4	29	4	2	1	3	4	44	23	4	18	23	16	1	3	16	18
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Kiloniella	4	3	4	4	29	4	2	1	3	4	44	23	4	18	23	16	1	3	16	18
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Kiloniella|s__Kiloniella_litopenaei	0	0	0	1	0	2	0	0	0	0	0	1	0	2	1	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Kiloniella|s__Kiloniella_spongiae	0	2	0	0	0	0	1	0	0	2	0	1	1	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Kiloniella|s__Kiloniella_majae	1	0	2	1	3	0	1	1	2	1	0	0	0	0	0	0	0	1	1	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Kiloniella|s__Kiloniella_sp._EL199	1	0	2	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kiloniellales|f__Kiloniellaceae|g__Kiloniella|s__Kiloniella_laminariae	2	1	0	2	3	0	0	0	1	1	44	19	2	16	22	8	1	0	15	16
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales	7	1	8	4	4	3	13	1	1	0	0	2	1	25	1	1	0	3	3	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae	7	1	8	4	4	3	13	1	1	0	0	2	1	25	1	1	0	3	3	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae|g__Emcibacter	7	1	8	4	4	3	13	1	1	0	0	2	1	25	1	1	0	3	3	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae|g__Emcibacter|s__Emcibacter_nanhaiensis	0	0	1	2	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Emcibacterales|f__Emcibacteraceae|g__Emcibacter|s__Emcibacter_congregatus	7	1	7	2	4	2	13	1	1	0	0	1	1	25	0	0	0	3	3	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales	11	1	19	21	30	8	9	0	13	13	1	9	19	15	8	5	2	5	20	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales|s__Kordiimonadales_bacterium_JCM_17843	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	3	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales|f__Kordiimonadaceae	7	1	18	4	30	8	7	0	12	13	0	9	18	14	2	5	2	2	19	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales|f__Kordiimonadaceae|g__Eilatimonas	1	0	13	0	3	5	1	0	0	7	0	7	0	1	1	1	0	1	10	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales|f__Kordiimonadaceae|g__Eilatimonas|s__Eilatimonas_milleporae	1	0	13	0	3	5	1	0	0	7	0	7	0	1	1	1	0	1	10	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales|f__Kordiimonadaceae|g__Kordiimonas	6	1	5	4	27	3	6	0	12	6	0	2	18	13	1	4	2	1	9	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales|f__Kordiimonadaceae|g__Kordiimonas|s__Kordiimonas_gwangyangensis	0	0	0	1	26	3	2	0	11	4	0	2	1	11	0	0	1	0	4	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales|f__Kordiimonadaceae|g__Kordiimonas|s__Kordiimonas_lipolytica	1	1	5	0	1	0	0	0	1	1	0	0	14	2	1	4	0	0	5	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Kordiimonadales|f__Kordiimonadaceae|g__Kordiimonas|s__Kordiimonas_lacus	5	0	0	3	0	0	4	0	0	1	0	0	3	0	0	0	1	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales	18	5	40	1	11	17	8	8	1	13	1	7	14	1	14	17	4	15	6	80
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae	0	1	3	0	2	0	2	0	0	2	0	0	1	0	2	3	0	6	0	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Cytomitobacter	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Candidatus_Cytomitobacter|s__Candidatus_Cytomitobacter_primus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|s__endosymbiont_of_Acanthamoeba_sp._UWC8	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	2	0	5	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Holospora	0	1	3	0	0	0	2	0	0	1	0	0	1	0	2	1	0	0	0	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Holospora|s__Holospora_undulata	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Holosporaceae|g__Holospora|s__Holospora_curviuscula	0	1	1	0	0	0	2	0	0	1	0	0	0	0	1	1	0	0	0	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae	4	0	7	0	3	8	3	6	0	3	1	2	10	0	6	3	0	3	4	39
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae|g__Caedimonas	2	0	7	0	3	5	3	6	0	3	1	2	10	0	6	0	0	2	4	35
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae|g__Caedimonas|s__Caedimonas_varicaedens	2	0	7	0	3	5	3	6	0	3	1	2	10	0	6	0	0	2	4	35
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae|g__Candidatus_Nucleicultrix	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	1	0	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Caedimonadaceae|g__Candidatus_Nucleicultrix|s__Candidatus_Nucleicultrix_amoebiphila	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	3	0	1	0	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae	14	4	30	1	6	9	3	2	1	8	0	4	3	1	6	11	4	6	2	39
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Finniella	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Finniella|s__Candidatus_Finniella_inopinata	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Paracaedibacter	0	0	1	0	2	4	0	0	0	1	0	0	0	0	0	1	0	2	0	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Paracaedibacter|s__Candidatus_Paracaedibacter_symbiosus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Paracaedibacter|s__Candidatus_Paracaedibacter_acanthamoebae	0	0	1	0	2	4	0	0	0	1	0	0	0	0	0	0	0	0	0	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Odyssella	14	4	29	1	4	5	2	2	1	7	0	4	3	1	6	8	4	4	2	36
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Holosporales|f__Candidatus_Paracaedibacteraceae|g__Candidatus_Odyssella|s__Candidatus_Odyssella_thessalonicensis	14	4	29	1	4	5	2	2	1	7	0	4	3	1	6	8	4	4	2	36
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales	21	55	25	17	50	5	49	75	7	16	24	14	98	89	38	32	202	128	66	32
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|g__Candidatus_Fonsibacter	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|g__Candidatus_Fonsibacter|s__Candidatus_Fonsibacter_ubiquis	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	4	4	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae	21	55	23	17	50	5	48	75	7	16	24	14	98	89	38	32	202	124	62	30
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|s__Pelagibacteraceae_bacterium_ETNP-OMZ-SAG-D9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|s__Pelagibacteraceae_bacterium_ETNP-OMZ-SAG-A6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|s__alpha_proteobacterium_HIMB59	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|s__Pelagibacteraceae_bacterium_ETNP-OMZ-SAG-B2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Pelagibacterales|f__Pelagibacteraceae|s__Pelagibacteraceae_bacterium_ETNP-OMZ-SAG-A7	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0
