#Classification	SRR061192.report.rs.kraken	SRR061294.report.rs.kraken	SRR061320.report.rs.kraken	SRR061365.report.rs.kraken	SRR061562.report.rs.kraken	SRR062083.report.rs.kraken	SRR062298.report.rs.kraken	SRR062299.report.rs.kraken	SRR063517.report.rs.kraken	SRR1804664.report.rs.kraken	SRR1804823.report.rs.kraken	SRR512767.report.rs.kraken	SRR513165.report.rs.kraken	SRR513768.report.rs.kraken	SRR513775.report.rs.kraken	SRR513828.report.rs.kraken	SRR514202.report.rs.kraken	SRR514239.report.rs.kraken	SRR514306.report.rs.kraken	SRR514329.report.rs.kraken
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Sulfitobacter|s__Sulfitobacter_sp._EhC04	2	5	0	2	0	0	0	0	0	1	0	2	1	1	0	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Sulfitobacter|s__Sulfitobacter_sp._DFL-14	4	0	0	1	17	1	1	0	1	3	0	4	0	1	0	24	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Sulfitobacter|s__Sulfitobacter_sp._SK011	4	0	0	1	0	5	0	1	2	0	1	1	4	0	0	3	1	2	2	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Yoonia	54	3	5	23	22	28	53	4	7	26	4	7	21	5	5	15	4	20	12	26
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Yoonia|s__Yoonia_rosea	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Yoonia|s__Yoonia_maritima	0	0	3	3	2	2	1	2	0	3	0	0	9	0	2	13	0	6	2	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Yoonia|s__Yoonia_tamlensis	0	1	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Yoonia|s__Yoonia_litorea	3	1	0	8	3	17	29	1	0	1	1	0	1	1	0	1	0	5	9	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Yoonia|s__Yoonia_maricola	8	0	0	1	2	1	1	0	1	11	0	0	0	1	0	0	0	2	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Yoonia|s__Yoonia_sediminilitoris	9	0	0	7	1	1	0	0	0	1	2	5	7	2	0	0	2	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Yoonia|s__Yoonia_vestfoldensis	34	1	2	4	14	7	20	0	6	10	1	1	2	1	2	0	2	7	1	20
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter	70	48	109	180	62	103	58	17	38	187	18	170	50	88	127	63	7	33	130	86
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_aestuarii	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_azotoformans	0	0	0	2	0	0	0	0	1	0	0	0	2	0	0	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sp._AKP1	0	0	0	1	0	0	0	0	0	8	0	0	6	1	0	1	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sp._YIM_73028	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sp._24-YEA-8	0	0	1	8	3	11	0	0	0	0	0	15	2	0	5	2	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_vinaykumarii	0	0	39	11	5	12	1	0	3	2	2	3	0	1	0	1	0	2	0	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_ovatus	0	1	10	2	2	1	1	4	2	0	0	6	9	1	0	0	1	0	1	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_viridis	0	1	0	0	2	0	0	0	0	1	0	4	3	1	1	0	0	1	1	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_veldkampii	0	2	1	1	1	2	0	0	0	1	0	0	1	0	0	0	0	4	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sp._LPB0142	0	1	0	0	0	6	0	0	0	8	0	1	0	0	0	0	0	2	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Candidatus_Rhodobacter_lobularis	1	1	3	3	1	2	2	0	3	5	0	0	0	1	4	3	0	1	4	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_thermarum	1	0	2	2	4	2	1	0	1	19	1	8	2	1	2	0	0	1	6	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sphaeroides	2	8	3	42	7	4	13	0	3	1	6	1	2	1	13	0	0	2	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_megalophilus	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	3	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_johrii	2	0	1	1	2	1	1	0	2	1	3	0	0	1	73	0	1	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_blasticus	4	0	3	4	1	11	3	1	2	14	0	11	5	15	1	0	0	4	9	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_maris	4	8	2	5	4	6	10	0	0	97	0	0	6	1	4	30	0	2	20	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_capsulatus	6	1	11	26	6	7	5	0	2	1	0	24	0	51	11	5	1	4	44	5
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sp._SW2	1	2	2	3	2	3	3	1	0	2	0	2	2	5	1	2	0	3	12	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sp._CZR27	1	0	0	3	1	2	2	0	0	0	0	1	0	1	0	1	1	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sp._BO-81	1	7	7	2	0	5	6	0	5	2	2	9	0	1	4	2	1	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sp._TJ48	1	10	2	2	2	0	3	0	0	12	0	67	1	0	1	0	0	0	4	40
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sp._JA431	3	0	3	0	2	1	1	0	0	1	0	0	2	0	0	0	0	0	0	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Rhodobacter|s__Rhodobacter_sp._SY28-1	12	0	0	2	1	5	0	0	8	0	0	1	2	1	0	11	0	0	6	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius	84	28	115	153	89	262	31	6	222	119	91	108	45	79	62	131	8	54	149	55
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_litoreus	0	0	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._A46	0	0	0	0	3	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._YLY04	0	0	0	3	3	8	9	0	1	1	0	0	0	1	1	2	0	0	1	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._217	0	0	1	2	2	1	1	0	2	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_gaetbuli	0	1	0	1	4	93	0	0	2	5	0	6	0	0	0	0	0	0	3	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_nitratireducens	0	1	1	2	0	0	0	0	2	1	0	1	0	1	1	0	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_nubinhibens	0	2	0	2	1	4	1	0	1	0	0	0	0	0	0	2	1	2	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_lutimaris	0	2	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_marisflavi	0	2	0	0	0	0	1	0	0	1	0	4	4	1	3	3	0	2	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._TM1035	0	1	1	0	27	11	1	2	0	1	0	4	0	1	9	0	0	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._A-2	0	1	1	2	6	5	3	1	1	0	0	0	3	0	0	2	0	2	2	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._EL26	0	1	0	1	1	0	0	0	0	1	1	1	0	1	2	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._GCL-8	0	1	13	6	2	12	2	0	2	5	1	22	3	0	2	4	0	1	0	3
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._MCTG156(2b)	0	2	0	3	1	3	1	0	101	27	8	0	2	12	0	0	0	1	16	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_tolerans	1	4	2	12	4	13	0	1	41	4	65	2	2	1	10	4	0	6	0	15
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_mucosus	1	1	1	4	0	3	1	0	1	4	0	2	0	2	5	0	1	1	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_nanhaiticus	1	0	0	0	1	1	0	0	0	2	1	0	0	0	0	0	0	1	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_albus	1	0	4	6	2	0	0	0	1	1	0	1	0	1	2	0	1	0	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_azorensis	1	0	2	6	2	5	0	0	8	1	0	8	0	2	9	2	1	0	2	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_atlanticus	1	0	1	11	1	0	1	0	0	0	0	22	0	1	0	4	0	2	1	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_confluentis	1	0	1	36	0	1	0	0	0	1	7	1	20	0	0	71	1	1	1	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_salinarum	2	1	10	2	1	19	1	1	14	1	1	4	1	0	0	0	0	3	15	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_pacificus	3	0	0	3	0	10	1	0	2	1	0	0	1	1	0	3	0	0	0	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_aestuariivivens	3	0	1	1	0	2	0	0	3	14	1	1	0	10	3	0	0	1	32	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_indicus	4	6	41	39	8	22	1	0	30	21	2	11	1	6	10	24	1	9	35	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_halotolerans	5	0	15	2	4	9	0	0	0	1	0	0	0	21	0	3	1	0	8	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._MK6-18	1	0	1	0	1	0	3	0	0	1	0	1	3	0	0	0	1	19	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._HN-E21	2	2	12	1	1	18	0	1	3	1	0	0	0	3	1	2	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_sp._TE539	3	0	0	3	2	6	2	0	1	9	3	1	1	12	0	4	0	0	7	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Roseovarius|s__Roseovarius_aestuarii	53	0	7	1	1	7	1	0	5	0	1	0	2	0	2	1	0	0	24	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava	87	6	28	76	46	76	16	2	24	36	17	128	12	149	26	45	3	34	92	64
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._NG1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._DLFJ4-1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._F42-5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._F36-7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._ES.031	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._DLFJ5-1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._F34-6	0	0	0	0	0	0	3	0	5	0	1	0	0	0	0	0	0	4	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_nitratireducens	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_electrotropha	0	0	0	1	0	3	0	0	0	0	0	0	0	0	0	3	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_dalianensis	0	0	0	2	20	3	0	0	1	1	0	102	0	2	0	6	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._ES.032	0	0	0	17	1	21	0	1	0	0	2	0	1	78	6	0	0	0	27	33
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sediminum	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._JM3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_marina	0	1	0	0	0	5	0	0	0	1	0	0	0	0	1	0	0	2	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._SK-1	0	1	1	19	3	1	2	0	0	16	0	0	1	41	5	9	0	3	24	23
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_pacifica	1	0	2	1	1	1	2	0	0	0	0	0	1	0	1	13	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_arenosa	1	0	1	0	0	2	0	0	0	0	0	7	0	2	0	0	0	0	37	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_atlantica	5	1	3	2	9	4	2	0	1	0	2	12	1	1	1	1	3	6	0	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._F28-4	1	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	12	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._F36-6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._L04-15	1	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_sp._F1Mire-8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Thioclava|s__Thioclava_indica	75	1	7	2	2	3	5	0	7	6	11	0	2	13	10	1	0	1	3	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_WDS1C4	1	3	6	10	1	2	1	1	1	5	0	32	2	1	2	3	1	6	0	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_Alg231-04	1	0	0	13	0	1	0	1	0	1	3	1	0	1	0	0	0	0	1	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_WD3A24	1	0	2	4	2	19	0	1	9	4	1	0	4	0	0	0	2	0	0	4
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_EL53	1	0	1	1	0	0	1	0	1	1	1	0	0	0	1	1	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_HTCC2083	2	4	1	1	3	7	0	0	1	1	1	19	0	4	0	9	0	8	12	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_LMIT002	2	2	1	1	3	3	0	0	3	4	0	8	0	0	0	2	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_DSL-40	2	0	7	23	1	11	0	0	2	2	0	90	1	22	2	3	0	10	11	7
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_CCMM004	2	0	1	5	3	6	1	1	4	3	2	1	2	2	1	1	0	0	1	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_THAF1	3	0	1	1	2	0	2	0	0	2	0	1	3	0	1	0	0	0	5	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_HIMB11	6	0	4	2	1	5	0	3	0	2	1	4	0	0	0	1	1	0	2	1
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium	7	4	25	16	10	11	5	12	5	10	3	33	7	7	6	3	4	4	20	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_WFHF2C18	8	0	3	3	3	3	0	0	0	2	0	0	1	0	0	1	0	2	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_PD-2	9	0	2	6	2	2	19	1	2	0	0	0	5	44	0	18	2	0	41	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_TG-679	9	14	44	14	15	28	5	0	17	55	1	6	12	6	8	1	5	5	5	24
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_W635	9	0	2	0	1	3	0	1	12	13	2	8	0	5	0	0	0	1	1	2
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_BAR1	11	1	4	8	3	4	1	0	1	0	3	5	4	4	8	1	1	2	30	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|s__Rhodobacteraceae_bacterium_CH30	17	1	63	9	11	14	0	0	2	6	3	15	0	3	3	9	1	3	3	8
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus	239	63	321	429	178	346	69	20	160	611	157	742	73	278	135	116	37	84	414	206
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_mutanolyticus	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_sp._Arc7-R13	0	0	0	0	0	0	0	0	1	0	0	1	0	0	3	0	0	1	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_sp._J55	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_haeundaensis	0	0	0	0	1	0	0	0	1	0	1	0	0	1	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_bengalensis	0	0	0	0	1	0	0	0	0	1	3	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhodobacterales|f__Rhodobacteraceae|g__Paracoccus|s__Paracoccus_sp._J39	0	0	0	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	1	0
