Proteins	log fold change (HunterGatherer - JAE)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (HunterGatherer)	structural.zero (JAE)	star_up	star_down	L2	L3
Glycogen phosphorylase (EC 2.4.1.1)	0.327399634169016	0.0654295654334147	0.0675476578097017	0.58725161052833	0	0	TRUE	0	0	***	""	Carbohydrates	Glycogen metabolism
Phosphoglycolate phosphatase (EC 3.1.3.18)	0.349573370183194	0.145431544907582	-0.228004581296274	0.927151321662661	0.015	0.0254156479217604	TRUE	0	0	*	""	Carbohydrates	Glycolate, glyoxylate interconversions
Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	0.581633724334125	0.341347944422671	-0.774021588319404	1.93728903698765	0.003	0.00611470588235294	TRUE	0	0	**	""	Carbohydrates	Glycolysis and Gluconeogenesis
Major myo-inositol transporter IolT	0.281523040700522	0.431669007141552	-1.43284024286654	1.99588632426759	0.035	0.0539	FALSE	0	0	""	""	Carbohydrates	Inositol catabolism
L-fucose mutarotase	0.945010442953656	0.218246308109821	0.0782503763110889	1.81177050959622	0	0	TRUE	0	0	***	""	Carbohydrates	L-fucose utilization
L-fucose operon activator	1.42811438576091	0.361067264345499	-0.0058557410055593	2.86208451252738	0	0	TRUE	0	0	***	""	Carbohydrates	L-fucose utilization
L-fuculose phosphate aldolase (EC 4.1.2.17)	0.49267882290098	0.34365532282334	-0.872140188665278	1.85749783446724	0.016	0.026978102189781	TRUE	0	0	*	""	Carbohydrates	L-fucose utilization
L-lactate permease	0.220351510240668	0.103904865933253	-0.192304214847132	0.633007235328468	0.053	0.0757298969072165	FALSE	0	0	""	""	Carbohydrates	Lactate utilization
Predicted L-lactate dehydrogenase, hypothetical protein subunit YkgG	0.0275853965735831	0.163994425683002	-0.623714598212503	0.678885391359669	0.001	0.00225732899022801	TRUE	0	0	**	""	Carbohydrates	Lactate utilization
Evolved beta-D-galactosidase, alpha subunit	0.848020319956154	0.272528990552653	-0.234322140080261	1.93036277999257	0.002	0.00421276595744681	TRUE	0	0	**	""	Carbohydrates	Lactose utilization
PTS system, mannitol-specific IIB component (EC 2.7.1.69)	0.443419549069708	0.235301698905148	-0.491075599968542	1.37791469810796	0.093	0.125387159533074	FALSE	0	0	""	""	Carbohydrates	Mannitol Utilization
PTS system, N-acetylgalactosamine-specific IIB component (EC 2.7.1.69)	1.18348149354284	0.359951944103399	-0.246059165180189	2.61302215226588	0.003	0.00611470588235294	TRUE	0	0	**	""	Carbohydrates	N-Acetyl-Galactosamine and Galactosamine Utilization
Ribose-phosphate pyrophosphokinase (EC 2.7.6.1)	0.0596816303940564	0.0682646137380159	-0.211429673459561	0.330792934247673	0.457	0.499528391167193	FALSE	0	0	""	""	Carbohydrates	Pentose phosphate pathway
Methylmalonyl-CoA mutase (EC 5.4.99.2)	0.371107456928821	0.272172497948242	-0.709819201134892	1.45203411499253	0	0	TRUE	0	0	***	""	Carbohydrates	Propionyl-CoA to Succinyl-CoA Module
Alanine dehydrogenase (EC 1.4.1.1)	0.206327058650894	0.106605367018378	-0.21705364282154	0.629707760123328	0	0	TRUE	0	0	***	""	Carbohydrates	Pyruvate Alanine Serine Interconversions
Oxaloacetate decarboxylase gamma chain (EC 4.1.1.3)	0.555579475571823	0.598540507486277	-1.821510036962	2.93266898810565	0.005	0.00954545454545455	TRUE	0	0	**	""	Carbohydrates	Pyruvate metabolism I: anaplerotic reactions, PEP
NAD-dependent protein deacetylase of SIR2 family	0.159239987050888	0.0508655903412841	-0.0427715056330556	0.361251479734833	0	0	TRUE	0	0	***	""	Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate
Cell division protein FtsI [Peptidoglycan synthetase] (EC 2.4.1.129)	0.0805164450741724	0.0690059693225357	-0.19353913500299	0.354572025151335	0.181	0.222005309734513	FALSE	0	0	""	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Cell division protein FtsK	0.116609188591486	0.0427221354114441	-0.0530607648525959	0.286279142035568	0.005	0.00954545454545455	TRUE	0	0	**	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Cell division protein FtsW	0.371969629902729	0.0861604884637053	0.0297852815417095	0.714153978263749	0	0	TRUE	0	0	***	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Cell division protein FtsZ (EC 3.4.24.-)	0.220042428533498	0.0356337504829058	0.0785238286965358	0.36156102837046	0	0	TRUE	0	0	***	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Chromosome (plasmid) partitioning protein ParA	0.135439623827128	0.111305634160393	-0.306608077772522	0.577487325426777	0.101	0.134343570057582	FALSE	0	0	""	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Chromosome (plasmid) partitioning protein ParB	0.0182336565733934	0.0556301046190439	-0.2026999922225	0.239167305369286	0.002	0.00421276595744681	TRUE	0	0	**	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Z-ring-associated protein ZapA	0.369699514353258	0.663376337212809	-2.26488396717965	3.00428299588617	0.454	0.497819620253165	FALSE	0	0	""	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Phosphoglucosamine mutase (EC 5.4.2.10)	0.223722039495435	0.0686472796246303	-0.0489090129040169	0.496353091894887	0	0	TRUE	0	0	***	""	Cell Division and Cell Cycle	Diadenylate cyclase cluster
DNA primase (EC 2.7.7.-)	0.0268164439614473	0.0785765921445428	-0.285248638988219	0.338881526911114	0.835	0.849713656387665	FALSE	0	0	""	""	Cell Division and Cell Cycle	Macromolecular synthesis operon
RNA polymerase sigma factor RpoD	0.115346965976107	0.0531772883379071	-0.0958453807940479	0.326539312746262	0.001	0.00225732899022801	TRUE	0	0	**	""	Cell Division and Cell Cycle	Macromolecular synthesis operon
TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	0.0172760934853855	0.0336779551770178	-0.116475111409813	0.151027298380584	0	0	TRUE	0	0	***	""	Cell Division and Cell Cycle	Macromolecular synthesis operon
Ribonuclease III (EC 3.1.26.3)	0.212607014306213	0.0794515579232981	-0.102932974603018	0.528147003215445	0.001	0.00225732899022801	TRUE	0	0	**	""	Cell Division and Cell Cycle	Two cell division clusters relating to chromosome partitioning
Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)	0.114106825029743	0.11852054101001	-0.35659470900334	0.584808359062826	0.445	0.4895	FALSE	0	0	""	""	Cell Division and Cell Cycle	Two cell division clusters relating to chromosome partitioning
Segregation and condensation protein B	0.135598590012735	0.0984453291376426	-0.255374713421363	0.526571893446832	0.005	0.00954545454545455	TRUE	0	0	**	""	Cell Division and Cell Cycle	Two cell division clusters relating to chromosome partitioning
Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	0.0632594979259515	0.0491550583074336	-0.13195865711808	0.258477652969983	0.121	0.156734579439252	FALSE	0	0	""	""	Cell Division and Cell Cycle	Two cell division clusters relating to chromosome partitioning
TsaB protein, required for threonylcarbamoyladenosine (t(6)A) formation in tRNA	0.214920558591087	0.0803012948029102	-0.103994140299634	0.533835257481807	0	0	TRUE	0	0	***	""	Cell Division and Cell Cycle	YgjD and YeaZ
UDP-galactopyranose mutase (EC 5.4.99.9)	0.242646144724929	0.114831323944673	-0.213403750720976	0.698696040170834	0.002	0.00421276595744681	TRUE	0	0	**	""	Cell Wall and Capsule	Biosynthesis of Arabinogalactan in Mycobacteria
dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	0.247250783763834	0.0761846729264879	-0.0553148484102356	0.549816415937905	0.001	0.00225732899022801	TRUE	0	0	**	""	Cell Wall and Capsule	Capsular heptose biosynthesis
Capsular polysaccharide export system inner membrane protein KpsE	1.44949410828694	0.418947706948376	-0.214346831517644	3.11333504809152	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Capsular Polysaccharide (CPS) of Campylobacter
Capsular polysaccharide biosynthesis protein CapD	1.49788969650146	0.36497815267116	0.048387568964209	2.94739182403871	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Capsular Polysaccharides Biosynthesis and Assembly
Capsular polysaccharide export system protein KpsC	0.796051751544967	0.459361691875746	-1.02829237647993	2.62039587956986	0.048	0.0695899581589958	FALSE	0	0	""	""	Cell Wall and Capsule	Capsular Polysaccharides Biosynthesis and Assembly
Capsular polysaccharide export system protein KpsS	0.618012023840523	0.405374034292092	-0.991921395062376	2.22794544274342	0.005	0.00954545454545455	TRUE	0	0	**	""	Cell Wall and Capsule	Capsular Polysaccharides Biosynthesis and Assembly
Sialic acid biosynthesis protein NeuD, O-acetyltransferase	3.18216619181804	0.24234006228507	2.21971834857355	4.14461403506254	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	CMP-N-acetylneuraminate Biosynthesis
dTDP-4-dehydrorhamnose reductase (EC 1.1.1.133)	0.014838278348285	0.14159176221599	-0.547490066709515	0.577166623406085	0.04	0.0602608695652174	FALSE	0	0	""	""	Cell Wall and Capsule	dTDP-rhamnose synthesis
dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	0.0642874990177926	0.0500444996566942	-0.134463051372747	0.263038049408332	0.031	0.0487142857142857	TRUE	0	0	*	""	Cell Wall and Capsule	dTDP-rhamnose synthesis
Glucose-1-phosphate thymidylyltransferase (EC 2.7.7.24)	0.0633650648564998	0.0358679245088128	-0.0790835516027774	0.205813681315777	0.035	0.0539	FALSE	0	0	""	""	Cell Wall and Capsule	dTDP-rhamnose synthesis
Putative uncharacterized protein in cluster with two glycosyl transferases	1.88320557344787	0.450084434097713	0.0957058559405741	3.67070529095517	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Exopolysaccharide Biosynthesis
regulator of length of O-antigen component of lipopolysaccharide chains	1.8763695334809	0.445030364628281	0.108941933701868	3.64379713325993	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	KDO2-Lipid A biosynthesis
Legionaminic acid biosynthesis protein PtmA	2.6507956666624	0.241452752905448	1.69187175169726	3.60971958162754	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Legionaminic Acid Biosynthesis
Legionaminic acid biosynthesis protein PtmF	0.0623827032892207	0	0.0623827032892207	0.0623827032892207	0	0	TRUE	0	1	***	""	Cell Wall and Capsule	Legionaminic Acid Biosynthesis
Legionaminic acid cytidylyltransferase (EC 2.7.7.43)	0.0573143894378686	0	0.0573143894378686	0.0573143894378686	0	0	TRUE	0	1	***	""	Cell Wall and Capsule	Legionaminic Acid Biosynthesis
Legionaminic acid synthase (EC 2.5.1.56)	2.02615236119486	0.350574974582699	0.633852115824325	3.41845260656539	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Legionaminic Acid Biosynthesis
Outer membrane lipoprotein LolB precursor	0.647536106059256	0.497456944414028	-1.32810241917593	2.62317463129444	0.001	0.00225732899022801	TRUE	0	0	**	""	Cell Wall and Capsule	Lipopolysaccharide assembly
UDP-glucose:(glucosyl)lipopolysaccharide alpha-1,2-glucosyltransferase (EC 2.4.1.58)	0.228735187707947	0	0.228735187707947	0.228735187707947	0	0	TRUE	0	1	***	""	Cell Wall and Capsule	LOS core oligosaccharide biosynthesis
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	0.180381631748718	0.103797868020919	-0.231849153653145	0.592612417150581	0.105	0.138864503816794	FALSE	0	0	""	""	Cell Wall and Capsule	Murein Hydrolases
3-oxoacyl-[acyl-carrier protein] reductase (EC 1.1.1.100)	0.00551359282341046	0.0598016564022021	-0.231987275518546	0.243014461165367	0.067	0.0923081510934394	FALSE	0	0	""	""	Cell Wall and Capsule	mycolic acid synthesis
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	0.220917416231941	0.0997410758498803	-0.17520191471748	0.617036747181363	0.05	0.0717391304347826	FALSE	0	0	""	""	Cell Wall and Capsule	mycolic acid synthesis
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	0.0812278288678634	0.0924384258880161	-0.285889199946726	0.448344857682453	0.588	0.622112977099237	FALSE	0	0	""	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
Phospho-N-acetylmuramoyl-pentapeptide-transferase (EC 2.7.8.13)	0.0954071631361888	0.0508810228417721	-0.106665619359562	0.297479945631939	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
UDP-N-acetylenolpyruvoylglucosamine reductase (EC 1.1.1.158)	0.15417918262821	0.100738532241633	-0.245901522862096	0.554259888118517	0.168	0.209772972972973	FALSE	0	0	""	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase (EC 2.4.1.227)	0.0309167821899106	0.0759411655892656	-0.270681766336025	0.332515330715846	0.845	0.858629032258065	FALSE	0	0	""	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	0.109729327625891	0.0416057856363509	-0.0555070690087477	0.274965724260529	0.001	0.00225732899022801	TRUE	0	0	**	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
UDP-N-acetylmuramoylalanine--D-glutamate ligase (EC 6.3.2.9)	0.153722528955063	0.104554910444476	-0.261514832581702	0.568959890491828	0.036	0.0551946902654867	FALSE	0	0	""	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	0.25517584351743	0.0806412617891789	-0.0650890262431973	0.575440713278057	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase (EC 6.3.2.10)	0.160307531438161	0.0808747650234915	-0.160884690911781	0.481499753788102	0.027	0.0434129930394432	TRUE	0	0	*	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
Choline kinase (EC 2.7.1.32)	0.0884627803595812	0.155870189892605	-0.530572003545772	0.707497564264934	0.264	0.310614601018676	FALSE	0	0	""	""	Cell Wall and Capsule	Phosphorylcholine incorporation in LPS
Lipopolysaccharide cholinephosphotransferase LicD2 (EC 2.7.8.-)	1.91573165194483	0.300457859333526	0.722470348078167	3.10899295581149	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Phosphorylcholine incorporation in LPS
N-Acetyltransferase PseH involved in the biosynthesis of pseudaminic acid	2.62279720494469	0.258296317809701	1.59697946911564	3.64861494077374	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Pseudaminic Acid Biosynthesis
Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	0.276326119496559	0.214594731647111	-0.57593179732464	1.12858403631776	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Rhamnose containing glycans
TRAP-type transport system, small permease component, predicted N-acetylneuraminate transporter	1.03980258036001	0.250392640089618	0.0453741142359627	2.03423104648406	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Sialic Acid Metabolism
Putative CDP-glycerol:glycerophosphate glycerophosphotransferase (EC 2.7.8.-)	2.39158776068841	0.3969517507391	0.815103242327741	3.96807227904908	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Teichoic and lipoteichoic acids biosynthesis
Putative CDP-glycosylpolyol phosphate:glycosylpolyol glycosylpolyolphosphotransferase	2.25569419066112	0.418658772771048	0.593000746129031	3.9183876351932	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Teichoic and lipoteichoic acids biosynthesis
Undecaprenyl-phosphate N-acetylglucosaminyl 1-phosphate transferase (EC 2.7.8.-)	0.010371189496178	0.0838050719905879	-0.322458677880068	0.343201056872424	0.098	0.130603846153846	FALSE	0	0	""	""	Cell Wall and Capsule	Teichoic and lipoteichoic acids biosynthesis
NAD(P)HX dehydratase	0.0292993992626105	0.0859694844974921	-0.312126381350263	0.370725179875484	0.193	0.234647368421053	FALSE	0	0	""	""	Cell Wall and Capsule	YjeE
Acetyl-coenzyme A carboxyl transferase beta chain (EC 6.4.1.2)	0.311709358062567	0.0641467234992029	0.0569521581969277	0.566466557928206	0	0	TRUE	0	0	***	""	Central metabolism	EC 6.4.1.- Ligases that form carbon-carbon bonds
Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	0.479392366903896	0.12379098245914	-0.0122406010730055	0.971025334880798	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	B12 Biosynthesis (Tavares copy1)
Cobalamin synthase	0.656357927461183	0.122524312714235	0.169755508509446	1.14296034641292	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	B12 Biosynthesis (Tavares copy1)
Cobalt-precorrin-6x reductase (EC 1.3.1.54)	0.741210906154039	0.139744530488044	0.186218798348021	1.29620301396006	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	B12 Biosynthesis (Tavares copy1)
Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	0.476773315067621	0.133280707819729	-0.0525478734212401	1.00609450355648	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	B12 Biosynthesis (Tavares copy1)
Lipoate-protein ligase A	0.270299794716781	0.119613510899101	-0.204742443459758	0.74534203289332	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	BEY LIP
Pyridoxal kinase (EC 2.7.1.35)	0.328966126989993	0.0930279728937397	-0.0404922738569367	0.698424527836923	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	BEY LIP
Biotin synthase (EC 2.8.1.6)	0.250182668378753	0.109245078617593	-0.183681585468371	0.684046922225877	0.033	0.0511610738255034	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin biosynthesis
Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	0.191489484292914	0.0575408577389649	-0.037032675465221	0.420011644051049	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin biosynthesis
Substrate-specific component BioY of biotin ECF transporter	0.509710856108125	0.10642426191411	0.0870494092870272	0.932372302929223	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin biosynthesis
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	0.145829531745743	0.053408951838299	-0.0662828611538394	0.357941924645326	0.005	0.00954545454545455	TRUE	0	0	**	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	CLO thiaminPP biosynthesis
ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	0.368457271828281	0.329148590505213	-0.938748594389842	1.6756631380464	0.061	0.0854	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	CLO thiaminPP biosynthesis
Hydroxymethylpyrimidine ABC transporter, substrate-binding component	0.198954419852633	0.0856276325857119	-0.14111370395311	0.539022543658376	0.039	0.0592697368421053	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	CLO thiaminPP biosynthesis
Dephospho-CoA kinase (EC 2.7.1.24)	0.180787176447126	0.0559467391254173	-0.0414039788249248	0.402978331719176	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	CoA Pantothenate HMP
Pantothenate kinase (EC 2.7.1.33)	0.18038635506442	0.0931836869634537	-0.189690460538807	0.550463170667647	0.002	0.00421276595744681	TRUE	0	0	**	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	CoA Pantothenate HMP
Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)	0.225589570901488	0.0753815946900159	-0.0737866549921631	0.524965796795139	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	CoA Pantothenate HMP
Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	0.208688782648123	0.0851584492648706	-0.129515990661742	0.546893555957988	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	CoA Pantothenate HMP
Holo-[acyl-carrier protein] synthase (EC 2.7.8.7)	0.314764783253916	0.0893163809519788	-0.0399531177116966	0.669482684219529	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	coA-FolK
Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type	0.442203388613794	0.106678746404096	0.0185312626411889	0.865875514586399	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Experimental tye
Iron-sulfur cluster assembly protein SufB	0.324277094512432	0.0873377598981035	-0.0225827595914928	0.671136948616357	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S cluster assembly
Folylpolyglutamate synthase (EC 6.3.2.17)	0.122872029612632	0.0652164560646031	-0.136133587913339	0.381877647138602	0.001	0.00225732899022801	TRUE	0	0	**	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate Biosynthesis
Thymidine kinase (EC 2.7.1.21)	0.229601456186094	0.0691976677387198	-0.0452154496308985	0.504418362003086	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate Biosynthesis
2-succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylic-acid synthase (EC 2.2.1.9)	0.419702784548792	0.107001093550009	-0.00524953551320473	0.844655104610789	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Menaquinone and Phylloquinone Biosynthesis
Naphthoate synthase (EC 4.1.3.36)	0.135537112691646	0.111822285371791	-0.308562457011987	0.57963668239528	0.049	0.0705966735966736	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Menaquinone and Phylloquinone Biosynthesis
O-succinylbenzoate synthase (EC 4.2.1.113)	0.497608679423866	0.137942441766425	-0.0502264755155745	1.04544383436331	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Menaquinone and Phylloquinone Biosynthesis
O-succinylbenzoic acid--CoA ligase (EC 6.2.1.26)	0.324101807195633	0.0961711944690002	-0.0578398240236261	0.706043438414892	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Menaquinone and Phylloquinone Biosynthesis
Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	0.0385998442550299	0.0513302344145858	-0.16525697141022	0.24245665992028	0.365	0.413308823529412	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Methanofuran
ADP-ribose pyrophosphatase (EC 3.6.1.13)	0.0746260987388236	0.0746683862098249	-0.221917636492446	0.371169833970093	0.505	0.5468203125	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
DNA ligase (EC 6.5.1.2)	0.0608730776329054	0.0808588534805858	-0.260255952399564	0.382002107665374	0.68	0.710769230769231	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
NAD kinase (EC 2.7.1.23)	0.0942978886681889	0.0573635542428071	-0.133520114435583	0.322115891771961	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
NAD synthetase (EC 6.3.1.5)	0.112845785238724	0.113301056297787	-0.337126688329656	0.562818258807103	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
Nicotinamidase (EC 3.5.1.19)	0.00350252865102441	0.107780614679265	-0.424545641195534	0.431550698497583	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	0.170712695755862	0.0364760171510246	0.0258490537062175	0.315576337805506	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18)	0.0852338885620014	0.0610216065527132	-0.157111983037584	0.327579760161587	0.02	0.0329216152019002	TRUE	0	0	*	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	0.54475657623228	0.121903503371505	0.0606196869471724	1.02889346551739	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxin (Vitamin B6) Biosynthesis
tRNA-guanine transglycosylase (EC 2.4.2.29)	0.0534878588500511	0.0631147558871637	-0.197170905977072	0.304146623677174	0.01	0.018	TRUE	0	0	*	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Queuosine HMP
Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	0.142717438266247	0.0838352123496322	-0.190232130835267	0.47566700736776	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin HMP
tRNA pseudouridine synthase B (EC 4.2.1.70)	0.0309574452315129	0.0515095003895083	-0.17361132102624	0.235526211489266	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Riboflavin, FMN and FAD metabolism Extended
Amidophosphoribosyltransferase (EC 2.4.2.14)	0.0232924588488395	0.0473165119938346	-0.164623952861698	0.211208870559377	0.106	0.13992	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.5.3)	0.359029891570418	0.321501820314472	-0.917807007137876	1.63586679027871	0.153	0.194192307692308	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
Dihydroorotase (EC 3.5.2.3)	0.101861431784737	0.0564031554244494	-0.122142370057109	0.325865233626584	0.096	0.128184971098266	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
Orotate phosphoribosyltransferase (EC 2.4.2.10)	0.0297847461390557	0.0467648453802291	-0.155940734623259	0.21551022690137	0.044	0.0648765957446808	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	0.0310570130748609	0.0572392068129869	-0.19626714714336	0.258381173293082	0.263	0.309964285714286	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
CRISPR-associated helicase Cas3	0.124508662338809	0.210062564218972	-0.70974985840522	0.958767183082839	0.752	0.776655737704918	FALSE	0	0	""	""	DNA Metabolism	CRISPRs
CRISPR-associated protein Cas1	0.0744784092389299	0.133818080587887	-0.456976942527995	0.605933761005854	0.744	0.769540298507463	FALSE	0	0	""	""	DNA Metabolism	CRISPRs
CRISPR-associated protein Cas7	1.39086895311265	0.594583812084057	-0.970506636925919	3.75224454315123	0.031	0.0487142857142857	TRUE	0	0	*	""	DNA Metabolism	CRISPRs
Recombination protein RecR	0.0110188554091746	0.0817265253982987	-0.313556113185711	0.33559382400406	0.966	0.967395953757225	FALSE	0	0	""	""	DNA Metabolism	DNA processing cluster
Formamidopyrimidine-DNA glycosylase (EC 3.2.2.23)	0.39949637182469	0.150927627199968	-0.19990914088722	0.998901884536601	0.012	0.021	TRUE	0	0	*	""	DNA Metabolism	DNA Repair Base Excision
Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	0.0442674648970982	0.0862971867773943	-0.298459777593536	0.386994707387733	0.25	0.296153846153846	FALSE	0	0	""	""	DNA Metabolism	DNA Repair Base Excision
