Pathway	Residual
Long-chain fatty-acid-CoA ligase (EC 6.2.1.3), Mycobacterial subgroup FadD15	MR1
Low-affinity gluconate/H+ symporter GntU	MR1
low-specificity D-threonine aldolase	MR1
LPS-assembly lipoprotein RlpB precursor (Rare lipoprotein B)	MR1
LptA, protein essential for LPS transport across the periplasm	MR1
LSU ribosomal protein L28p	MR1
LSU ribosomal protein L29p (L35e)	MR1
LSU ribosomal protein L32p	MR1
LSU ribosomal protein L36p	MR1
Lysophospholipid acyltransferase	MR1
LysR family regulatory protein CidR	MR1
Lysyl-tRNA synthetase (class II) related protein found fused to membrane protein	MR1
M protein trans-acting positive regulator (Mga)	MR1
Macrolide export ATP-binding/permease protein MacB (EC 3.6.3.-)	MR1
Macrolide-specific efflux protein MacA	MR1
Major myo-inositol transporter IolT	MR1
Malate synthase G (EC 2.3.3.9)	MR1
Malolactic enzyme (EC 1.-.-.-)	MR1
Maltodextrin glucosidase (EC 3.2.1.20)	MR1
Maltose phosphorylase (EC 2.4.1.8)	MR1
Mannitol operon activator, BglG family	MR1
Mannonate dehydratase (EC 4.2.1.8)	MR1
Membrane fusion component of tripartite multidrug resistance system	MR1
Membrane protein YcjF	MR1
Membrane protein, suppressor for copper-sensitivity ScsD	MR1
Membrane-associated protein containing RNA-binding TRAM domain and ribonuclease PIN-domain, YacL B.subtilis ortholog	MR1
Membrane-bound lytic murein transglycosylase B precursor (EC 3.2.1.-)	MR1
Membrane-bound lytic murein transglycosylase C precursor (EC 3.2.1.-)	MR1
Membrane-bound lytic murein transglycosylase D precursor (EC 3.2.1.-)	MR1
Menaquinone via 6-amino-6-deoxyfutalosine step 1	MR1
Menaquinone via futalosine step 1	MR1
Menaquinone via futalosine step 3	MR1
Menaquinone via futalosine step 4	MR1
Menaquinone via futalosine step 4, possible alternative	MR1
Meso-diaminopimelate D-dehydrogenase (EC 1.4.1.16)	MR1
Methionine synthase activation domain (EC 2.1.1.13)	MR1
Methyl-accepting chemotaxis protein I (serine chemoreceptor protein)	MR1
Methyl-directed repair DNA adenine methylase (EC 2.1.1.72)	MR1
Methylcrotonyl-CoA carboxylase carboxyl transferase subunit (EC 6.4.1.4)	MR1
Methylisocitrate lyase (EC 4.1.3.30)	MR1
Methylthioribose-1-phosphate isomerase (EC 5.3.1.23)	MR1
Mll9366 protein	MR1
Molybdenum cofactor biosynthesis protein MoaB	MR1
Molybdenum cofactor biosynthesis protein MoaC	MR1
Molybdenum transport system permease protein ModB (TC 3.A.1.8.1)	MR1
Molybdopterin biosynthesis enzyme	MR1
Molybdopterin biosynthesis protein MoeA	MR1
Molybdopterin biosynthesis protein MoeB	MR1
Molybdopterin-guanine dinucleotide biosynthesis protein MobA	MR1
Monofunctional biosynthetic peptidoglycan transglycosylase (EC 2.4.2.-)	MR1
Motility accessory factor	MR1
MreB-like protein (Mbl protein)	MR1
Multidrug-efflux transporter, major facilitator superfamily (MFS) (TC 2.A.1)	MR1
Multiple polyol-specific dehydrogenase (EC 1.1.1.-)	MR1
Murein-DD-endopeptidase (EC 3.4.99.-)	MR1
Mycobacterial persistence regulator MprA (Two component response transcriptional regulatory protein)	MR1
Myo-inositol 2-dehydrogenase 1 (EC 1.1.1.18)	MR1
N-acetyl glucosamine transporter, NagP	MR1
N-Acetyl-D-glucosamine ABC transport system ATP-binding protein	MR1
N-Acetyl-D-glucosamine ABC transport system, permease protein 1	MR1
N-Acetyl-D-glucosamine ABC transport system, permease protein 2	MR1
N-Acetyl-D-glucosamine ABC transport system, sugar-binding protein	MR1
N-acetylglucosamine related transporter, NagX	MR1
N-acetylglutamate synthase (EC 2.3.1.1)	MR1
N-acetylhexosamine 1-kinase	MR1
N-acetylmannosaminyltransferase (EC 2.4.1.187)	MR1
N-acetylneuraminate lyase (EC 4.1.3.3)	MR1
N-Acetyltransferase PseH involved in the biosynthesis of pseudaminic acid	MR1
N-acylglucosamine 2-epimerase (EC 5.1.3.8)	MR1
N-carbamoyl-L-amino acid hydrolase (EC 3.5.1.87)	MR1
N-linked glycosylation glycosyltransferase PglG	MR1
N-methylhydantoinase (ATP-hydrolyzing) (EC 3.5.2.14)	MR1
Na(+) H(+) antiporter subunit B	MR1
Na(+) H(+) antiporter subunit D	MR1
Na(+)-translocating NADH-quinone reductase subunit A (EC 1.6.5.-)	MR1
Na(+)-translocating NADH-quinone reductase subunit B (EC 1.6.5.-)	MR1
Na(+)-translocating NADH-quinone reductase subunit C (EC 1.6.5.-)	MR1
Na(+)-translocating NADH-quinone reductase subunit D (EC 1.6.5.-)	MR1
Na(+)-translocating NADH-quinone reductase subunit E (EC 1.6.5.-)	MR1
Na(+)-translocating NADH-quinone reductase subunit F (EC 1.6.5.-)	MR1
NADH dehydrogenase subunit 4L	MR1
NADH pyrophosphatase (EC 3.6.1.22)	MR1
NADH-quinone oxidoreductase chain F 2 (EC 1.6.99.5)	MR1
Ni/Fe-hydrogenase 2 B-type cytochrome subunit	MR1
Niacin transporter NiaP	MR1
Nickel transport system permease protein NikB (TC 3.A.1.5.3)	MR1
Nitrate/nitrite response regulator protein	MR1
Nitrate/nitrite sensor protein (EC 2.7.3.-)	MR1
Nitrate/nitrite transporter NarK	MR1
Nitric oxide reductase activation protein NorD	MR1
Nitric oxide-dependent regulator DnrN or NorA	MR1
Nitric-oxide reductase (EC 1.7.99.7), quinol-dependent	MR1
Nitric-oxide reductase subunit B (EC 1.7.99.7)	MR1
Nitrite-sensitive transcriptional repressor NsrR	MR1
Nitrogen regulation protein NR(I)	MR1
Nitrogen regulatory protein P-II	MR1
Nitrous oxide reductase maturation protein NosD	MR1
Nitrous oxide reductase maturation protein NosF (ATPase)	MR1
Nitrous oxide reductase maturation protein NosR	MR1
Nitrous oxide reductase maturation protein, outer-membrane lipoprotein NosL	MR1
Nitrous oxide reductase maturation transmembrane protein NosY	MR1
Nitrous-oxide reductase (EC 1.7.99.6)	MR1
NnrS protein involved in response to NO	MR1
NrfC protein	MR1
NrfD protein	MR1
Nucleoside permease NupC	MR1
Nucleotide excision repair protein, with UvrB/UvrC motif	MR1
Nudix dNTPase DR1776 (EC 3.6.1.-)	MR1
Oligopeptidase A (EC 3.4.24.70)	MR1
Oligosaccharyltransferase PglB (EC 2.4.1.119)	MR1
Organic hydroperoxide resistance protein	MR1
Ornithine decarboxylase (EC 4.1.1.17)	MR1
Outer membrane chaperone Skp (OmpH) precursor	MR1
Outer membrane component of tripartite multidrug resistance system	MR1
Outer membrane hemoglobin utilization protein HmbR	MR1
Outer membrane hemoglobin-haptoglobin utilization protein HpuB	MR1
Outer membrane protein SusE	MR1
Outer membrane protein SusF	MR1
Outer membrane receptor for ferric coprogen and ferric-rhodotorulic acid	MR1
Outer membrane receptor proteins, mostly Fe transport	MR1
Outer membrane vitamin B12 receptor BtuB	MR1
Outer surface protein of unknown function, cellobiose operon	MR1
Oxaloacetate decarboxylase beta chain (EC 4.1.1.3)	MR1
Paraquat-inducible protein A	MR1
Paraquat-inducible protein B	MR1
Peptide methionine sulfoxide reductase MsrA (EC 1.8.4.11)	MR1
Peptidoglycan-associated lipoprotein precursor	MR1
Peptidyl-prolyl cis-trans isomerase ppiA precursor (EC 5.2.1.8)	MR1
Peptidyl-prolyl cis-trans isomerase PpiB (EC 5.2.1.8)	MR1
Periplasmic [Fe] hydrogenase (EC 1.12.7.2)	MR1
Periplasmic [Fe] hydrogenase large subunit (EC 1.12.7.2)	MR1
Periplasmic divalent cation tolerance protein cutA	MR1
Periplasmic hemin-binding protein	MR1
Periplasmic nitrate reductase precursor (EC 1.7.99.4)	MR1
Periplasmic thiol:disulfide interchange protein DsbA	MR1
Periplasmic thiol:disulfide interchange protein, DsbA-like	MR1
Periplasmic thiol:disulfide oxidoreductase DsbB, required for DsbA reoxidation	MR1
Peroxide stress regulator	MR1
Phage capsid and scaffold	MR1
Phage minor capsid protein	MR1
Phage portal protein	MR1
Phage tail sheath monomer	MR1
Phenylpropionate dioxygenase and related ring-hydroxylating dioxygenases, large terminal subunit	MR1
PhnB protein	MR1
Phosphate transport regulator (distant homolog of PhoU)	MR1
Phosphatidylglycerophosphatase A (EC 3.1.3.27)	MR1
Phosphatidylserine decarboxylase (EC 4.1.1.65)	MR1
Phosphoadenylyl-sulfate reductase [thioredoxin] (EC 1.8.4.8)	MR1
Phosphoenolpyruvate synthase (EC 2.7.9.2)	MR1
Phosphoenolpyruvate-dihydroxyacetone phosphotransferase (EC 2.7.1.121), subunit DhaM	MR1
Phosphoglucomutase (EC 5.4.2.2)	MR1
Phosphogluconate dehydratase (EC 4.2.1.12)	MR1
Phosphoglycerol transferase I (EC 2.7.8.20)	MR1
Phospholipase A1 (EC 3.1.1.32) (EC 3.1.1.4)	MR1
Phospholipid-lipopolysaccharide ABC transporter	MR1
Phosphonopyruvate decarboxylase (EC 4.1.1.82)	MR1
Phosphoribosyl-ATP pyrophosphatase (EC 3.6.1.31)	MR1
Phosphoribosylaminoimidazole carboxylase ATPase subunit (EC 4.1.1.21)	MR1
Phosphoribosylanthranilate isomerase (EC 5.3.1.24)	MR1
Phytoene desaturase, pro-zeta-carotene producing (EC 1.-.-.-)	MR1
PilS cassette	MR1
Pimeloyl-CoA synthase (EC 6.2.1.14)	MR1
Poly(A) polymerase (EC 2.7.7.19)	MR1
Polyferredoxin NapH (periplasmic nitrate reductase)	MR1
Polygalacturonase (EC 3.2.1.15)	MR1
Polymyxin resistance protein ArnT, undecaprenyl phosphate-alpha-L-Ara4N transferase	MR1
Polysaccharide export lipoprotein Wza	MR1
polysulfide reductase, subunit A	MR1
polysulfide reductase, subunit C	MR1
Porphobilinogen synthase (EC 4.2.1.24)	MR1
Possible ABC transporter, periplasmic substrate X binding protein precursor	MR1
Possible hypoxanthine oxidase XdhD (EC 1.-.-.-)	MR1
Potassium channel protein	MR1
Potassium efflux system KefA protein	MR1
Predicted cell-wall-anchored protein SasA (LPXTG motif)	MR1
Predicted erythritol ABC transporter 2, ATP-binding component	MR1
Predicted galacto-N-biose-/lacto-N-biose I ABC transporter, permease component 1	MR1
Predicted galacto-N-biose-/lacto-N-biose I ABC transporter, permease component 2	MR1
Predicted glycogen synthase, ADP-glucose transglucosylase (EC 2.4.1.21), Actinobacterial type	MR1
Predicted hydrolase of the metallo-beta-lactamase superfamily, clustered with KDO2-Lipid A biosynthesis genes	MR1
Predicted hydroxymethylpyrimidine transporter CytX	MR1
Predicted NAD regulator in Alphaproteobacteria	MR1
Predicted nucleoside ABC transporter, ATP-binding component	MR1
Predicted P-loop ATPase fused to an acetyltransferase COG1444	MR1
Predicted signal transduction protein	MR1
Predicted signal-transduction protein containing cAMP-binding and CBS domains	MR1
Predicted thiazole transporter ThiU	MR1
Predicted transcriptional regulator of cysteine synthase, Rrf2 family	MR1
Predicted transcriptional regulator of N-Acetylglucosamine utilization, GntR family	MR1
Predicted transcriptional regulator of the myo-inositol catabolic operon	MR1
predicted xylose isomerase	MR1
Prephenate and/or arogenate dehydrogenase (unknown specificity) (EC 1.3.1.12)(EC 1.3.1.43)	MR1
Preprotein translocase SecY2 subunit (TC 3.A.5.1.1)	MR1
Preprotein translocase subunit SecG (TC 3.A.5.1.1)	MR1
preQ1-regulated inosine-uridine nucleoside hydrolase (EC 3.2.2.1)	MR1
Primosomal replication protein N	MR1
Probable 3-phenylpropionic acid transporter	MR1
Probable exported or periplasmic protein in ApbE locus	MR1
Probable outer membrane component of multidrug efflux pump	MR1
Programmed cell death toxin MazF	MR1
Proline iminopeptidase (EC 3.4.11.5)	MR1
Proline/sodium symporter PutP (TC 2.A.21.2.1)	MR1
Propanediol dehydratase medium subunit (EC 4.2.1.28)	MR1
Propanediol dehydratase reactivation factor small subunit	MR1
Propanediol dehydratase small subunit (EC 4.2.1.28)	MR1
Propanediol diffusion facilitator	MR1
Propanediol utilization polyhedral body protein PduA	MR1
Propanediol utilization polyhedral body protein PduJ	MR1
Prophage Clp protease-like protein	MR1
Propionyl-CoA carboxylase beta chain (EC 6.4.1.3)	MR1
Proposed lipoate regulatory protein YbeD	MR1
Protein export cytoplasm chaperone protein (SecB, maintains protein to be exported in unfolded state)	MR1
Protein involved in catabolism of external DNA	MR1
Protein of unknown function DUF374	MR1
Protein of unknown function identified by role in sporulation (SpoVG)	MR1
Protein with similarity to RtcB	MR1
Protein YigP (COG3165) clustered with ubiquinone biosynthetic genes	MR1
Protein-L-isoaspartate O-methyltransferase (EC 2.1.1.77)	MR1
Protein-N(5)-glutamine methyltransferase PrmB, methylates LSU ribosomal protein L3p	MR1
Protein-N(5)-glutamine methyltransferase PrmC, methylates polypeptide chain release factors RF1 and RF2	MR1
Pseudaminic acid cytidylyltransferase (EC 2.7.7.43)	MR1
Pseudaminic acid synthase (EC 4.1.3.-)	MR1
Pseudouridine 5'-phosphate glycosidase	MR1
Pseudouridine kinase (EC 2.7.1.83)	MR1
Pseudouridine synthase family protein	MR1
PTS system, beta-glucoside-specific IIB component (EC 2.7.1.69)	MR1
PTS system, cellobiose-specific IIB component (EC 2.7.1.69)	MR1
PTS system, diacetylchitobiose-specific IIB component (EC 2.7.1.69)	MR1
PTS system, galactitol-specific IIC component (EC 2.7.1.69)	MR1
PTS system, glucitol/sorbitol-specific IIB component and second of two IIC components (EC 2.7.1.69)	MR1
PTS system, lactose-specific IIA component (EC 2.7.1.69)	MR1
PTS system, mannitol-specific IIA component	MR1
PTS system, N-acetylgalactosamine- and galactosamine-specific IIA component	MR1
PTS system, N-acetylgalactosamine-specific IIB component (EC 2.7.1.69)	MR1
PTS system, N-acetylmuramic acid-specific IIB component (EC 2.7.1.69)	MR1
PTS system, tagatose-specific IIC component	MR1
PTS system, trehalose-specific IIB component (EC 2.7.1.69)	MR1
PUA-PAPS reductase like fusion	MR1
Purine nucleotide synthesis repressor	MR1
Putative ABC transporter of substrate X, ATP-binding subunit	MR1
Putative ABC transporter of substrate X, permease subunit I	MR1
Putative ABC transporter of substrate X, permease subunit II	MR1
Putative analog of CcoH, COG3198	MR1
Putative capsular polysaccharide transport protein YegH	MR1
Putative deoxyribonuclease YjjV	MR1
Putative Dihydrolipoamide dehydrogenase (EC 1.8.1.4)	MR1
Putative fibronectin domain-containing lipoprotein	MR1
Putative formate dehydrogenase-specific chaperone	MR1
Putative formate dehydrogenase, cytochrome B subunit (EC 1.2.1.2)	MR1
putative glycosyltransferase - possibly involved in cell wall localization and side chain formation of rhamnose-glucose polysaccharide	MR1
Putative heme iron utilization protein	MR1
Putative iron-containing NADPH-dependent propanol dehydrogenase	MR1
Putative iron-sulfur cluster assembly scaffold protein for SUF system, SufE2	MR1
Putative lipase in cluster with Phosphatidate cytidylyltransferase	MR1
Putative membrane protein, clustering with ActP	MR1
Putative metal chaperone, involved in Zn homeostasis, GTPase of COG0523 family	MR1
Putative OMR family iron-siderophore receptor precursor	MR1
Putative parvulin type peptidyl-prolyl isomerase, similarity with PrsA foldase	MR1
Putative pheromone cAM373 precursor lipoprotein CamS	MR1
Putative pheromone precursor lipoprotein	MR1
Putative phosphatase YqaB	MR1
Putative polyribitolphosphotransferase	MR1
putative polysialic acid transport protein	MR1
Putative predicted metal-dependent hydrolase	MR1
Putative preQ0 transporter	MR1
Putative secretion accessory protein EsaA/YueB	MR1
Putative succinate dehydrogenase cytochrome b subunit	MR1
putative TolA function	MR1
Putative TolA protein	MR1
Putative Ton-B dependent hemine receptor	MR1
Putative toxin component near putative ESAT-related proteins, repetitive	MR1
Putative two-component response regulator	MR1
Putative uncharacterized protein in cluster with two glycosyl transferases	MR1
Putrescine ABC transporter putrescine-binding protein PotF (TC 3.A.1.11.2)	MR1
Putrescine transport ATP-binding protein PotG (TC 3.A.1.11.2)	MR1
Putrescine transport system permease protein PotH (TC 3.A.1.11.2)	MR1
Putrescine transport system permease protein PotI (TC 3.A.1.11.2)	MR1
Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	MR1
Pyridoxine 5'-phosphate synthase (EC 2.6.99.2)	MR1
Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	MR1
Pyrophosphate-dependent fructose 6-phosphate-1-kinase (EC 2.7.1.90)	MR1
Pyruvate carboxylase subunit B (biotin-containing) (EC 6.4.1.1)	MR1
Pyruvate decarboxylase (EC 4.1.1.1)	MR1
Pyruvate dehydrogenase E1 component alpha subunit (EC 1.2.4.1)	MR1
Pyruvate dehydrogenase E1 component beta subunit (EC 1.2.4.1)	MR1
Pyruvate-flavodoxin oxidoreductase (EC 1.2.7.-)	MR1
Pyruvate-utilizing enzyme, similar to phosphoenolpyruvate synthase	MR1
Quinolinate synthetase (EC 2.5.1.72)	MR1
Quinone-reactive Ni/Fe hydrogenase, cytochrome b subunit	MR1
Quinone-reactive Ni/Fe-hydrogenase large chain (EC 1.12.5.1)	MR1
Quinone-reactive Ni/Fe-hydrogenase small chain precursor (EC 1.12.5.1)	MR1
Radical SAM domain heme biosynthesis protein	MR1
Radical SAM family enzyme, similar to coproporphyrinogen III oxidase, oxygen-independent, clustered with nucleoside-triphosphatase RdgB	MR1
Rare lipoprotein A precursor	MR1
Recombinational DNA repair protein RecT (prophage associated)	MR1
Redox-sensitive transcriptional regulator (AT-rich DNA-binding protein)	MR1
Regulatory protein BlaR1	MR1
Rhamnogalacturonides degradation protein RhiN	MR1
Rhamnulokinase (EC 2.7.1.5)	MR1
Rhamnulose-1-phosphate aldolase (EC 4.1.2.19)	MR1
Ribonuclease E inhibitor RraA	MR1
Ribonuclease HI-related protein	MR1
Ribonuclease T (EC 3.1.13.-)	MR1
Ribonucleotide reductase of class Ia (aerobic), alpha subunit (EC 1.17.4.1)	MR1
Ribonucleotide reductase of class Ia (aerobic), beta subunit (EC 1.17.4.1)	MR1
Ribose 5-phosphate isomerase A (EC 5.3.1.6)	MR1
Ribose ABC transport system, high affinity permease RbsD (TC 3.A.1.2.1)	MR1
Ribose/xylose/arabinose/galactoside ABC-type transport systems, ATP-binding protein (EC 3.6.3.17)	MR1
Ribosomal large subunit pseudouridine synthase C (EC 4.2.1.70)	MR1
Ribosome protection-type tetracycline resistance related proteins, group 2	MR1
Ribosome-associated heat shock protein implicated in the recycling of the 50S subunit	MR1
Ribulokinase (EC 2.7.1.16)	MR1
RNA polymerase principal sigma factor HrdC	MR1
RNA polymerase sigma factor	MR1
RNA polymerase sigma factor for flagellar operon	MR1
RNA polymerase sigma factor RpoE	MR1
RNA polymerase sigma factor RpoH	MR1
RNA polymerase sigma-54 factor RpoN	MR1
RNA polymerase sporulation specific sigma factor SigH	MR1
RNA-binding protein Hfq	MR1
RNA-binding protein Jag	MR1
RND efflux system, membrane fusion protein CmeA	MR1
RND efflux system, outer membrane lipoprotein CmeC	MR1
RND efflux system, outer membrane lipoprotein, NodT family	MR1
Rrf2 family transcriptional regulator	MR1
rubredoxin-oxygen oxidoreductase	MR1
Rubrerythrin	MR1
S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)	MR1
S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1A	MR1
S-adenosylmethionine decarboxylase proenzyme (EC 4.1.1.50), prokaryotic class 1B	MR1
S-formylglutathione hydrolase (EC 3.1.2.12)	MR1
SCIFF radical SAM maturase	MR1
Sensory histidine kinase QseC	MR1
Septum formation protein Maf	MR1
Septum site-determining protein MinC	MR1
Septum site-determining protein MinD	MR1
Serine endopeptidase ScpC (EC 3.4.21.-)	MR1
Serine transporter	MR1
Sialic acid utilization regulator, RpiR family	MR1
Sialic acid-induced transmembrane protein YjhT(NanM), possible mutarotase	MR1
Sigma factor RpoE regulatory protein RseC	MR1
Sigma-fimbriae usher protein	MR1
Signal peptidase-like protein	MR1
Signal recognition particle associated protein	MR1
Signal transduction protein CetA, mediates an energy taxis response	MR1
Signal-transduction regulatory protein FlgR	MR1
Similar to Hydroxyacylglutathione hydrolase, but in an organism lacking glutathione biosynthesis	MR1
Similar to phosphoglycolate phosphatase, clustered with ribosomal large subunit pseudouridine synthase C	MR1
Similar to phosphoglycolate phosphatase, clustered with ubiquinone biosynthesis SAM-dependent O-methyltransferase	MR1
Similar to ribosomal large subunit pseudouridine synthase A	MR1
Similar to ribosomal large subunit pseudouridine synthase D, CAC1266-type	MR1
Similar to ribosomal large subunit pseudouridine synthase D, TTE1780-type	MR1
Similarity with glutathionylspermidine synthase (EC 6.3.1.8), group 1	MR1
Similarity with glutathionylspermidine synthase (EC 6.3.1.8), group 2	MR1
Six-cysteine peptide SCIFF	MR1
SMT0609 replicon stabilization protein (antitoxin to SMT0608)	MR1
Soluble lytic murein transglycosylase precursor (EC 3.2.1.-)	MR1
Sorbitol operon transcription regulator	MR1
Sorbitol-6-phosphate 2-dehydrogenase (EC 1.1.1.140)	MR1
Sporulation regulatory protein WhiD	MR1
Starvation sensing protein RspA	MR1
Streptothricin acetyltransferase, Streptomyces lavendulae type	MR1
Stringent starvation protein A	MR1
Stringent starvation protein B	MR1
Substrate-specific component ThiT of thiamin ECF transporter	MR1
Substrate-specific component ThiW of predicted thiazole ECF transporter	MR1
Succinate dehydrogenase cytochrome b-556 subunit	MR1
Succinate dehydrogenase cytochrome b558 subunit	MR1
Succinate dehydrogenase hydrophobic membrane anchor protein	MR1
Succinate-semialdehyde dehydrogenase [NADP+] (EC 1.2.1.79)	MR1
Sulfate permease	MR1
Sulfate permease, Trk-type	MR1
Sulfate transport system permease protein CysW	MR1
Sulfite reductase [NADPH] flavoprotein alpha-component (EC 1.8.1.2)	MR1
Sulfite reductase [NADPH] hemoprotein beta-component (EC 1.8.1.2)	MR1
Sulfur carrier protein ThiS	MR1
Superoxide dismutase [Cu-Zn] precursor (EC 1.15.1.1)	MR1
Superoxide dismutase [Fe] (EC 1.15.1.1)	MR1
Superoxide reductase (EC 1.15.1.2)	MR1
Tagatose-1-phosphate kinase TagK	MR1
Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	MR1
Tellurite resistance protein TehA	MR1
Tetracycline resistance protein TetM	MR1
Thiamin ABC transporter, substrate-binding component	MR1
Thiamin pyrophosphokinase (EC 2.7.6.2)	MR1
Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety	MR1
Thiaminase II (EC 3.5.99.2) involved in salvage of thiamin pyrimidine moiety, TenA subgroup with Cys in active site	MR1
Thiazole biosynthesis protein ThiG	MR1
Thiazole biosynthetic enzyme Thi4	MR1
Thiazole tautomerase TenI (EC 5.3.99.10)	MR1
Thiol:disulfide interchange protein DsbC	MR1
Thiol:disulfide oxidoreductase associated with MetSO reductase	MR1
Thiosulfate sulfurtransferase, rhodanese (EC 2.8.1.1)	MR1
Threonine dehydratase biosynthetic (EC 4.3.1.19)	MR1
Thymidylate synthase thyX (EC 2.1.1.-)	MR1
TniB NTP-binding protein	MR1
Tol biopolymer transport system, TolR protein	MR1
tolB protein precursor, periplasmic protein involved in the tonb-independent uptake of group A colicins	MR1
TonB-dependent hemin , ferrichrome receptor	MR1
TonB-dependent siderophore receptor	MR1
TPR repeat containing exported protein	MR1
Transamidase GatB domain protein	MR1
Transcription antitermination protein UpdY	MR1
Transcription elongation factor GreB	MR1
Transcription repressor of multidrug efflux pump acrAB operon, TetR (AcrR) family	MR1
Transcriptional activator MetR	MR1
Transcriptional regulator, MerR family	MR1
Transcriptional regulatory protein UhpA	MR1
Transcriptional repressor for NAD biosynthesis in gram-positives	MR1
Transcriptional repressor protein TrpR	MR1
Transcriptional repressor protein TyrR	MR1
Transmembrane component BL0694 of energizing module of predicted ECF transporter	MR1
Transport ATP-binding protein CydCD	MR1
TRAP-type transport system, large permease component, predicted N-acetylneuraminate transporter	MR1
TRAP-type transport system, periplasmic component, predicted N-acetylneuraminate-binding protein	MR1
Trehalose operon transcriptional repressor	MR1
Trehalose phosphorylase (EC 2.4.1.64)	MR1
tRNA (uracil(54)-C5)-methyltransferase (EC 2.1.1.35)	MR1
tRNA (Uracil54-C5-)-methyltransferase (EC 2.1.1.35)	MR1
tRNA pseudouridine 13 synthase (EC 4.2.1.-)	MR1
tRNA-dihydrouridine synthase C (EC 1.-.-.-)	MR1
tRNA-specific 2-thiouridylase MnmA	MR1
tRNA:Cm32/Um32 methyltransferase	MR1
TsaC protein (YrdC-Sua5 domains) required for threonylcarbamoyladenosine t(6)A37 modification in tRNA	MR1
Twin-arginine translocation protein TatB	MR1
twitching motility protein PilG	MR1
twitching motility protein PilJ	MR1
Twitching motility protein PilT	MR1
Two-component response regulator CreC	MR1
Two-component sensor histidine kinase, malate (EC 2.7.3.-)	MR1
Two-component sensor kinase YesM (EC 2.7.3.-)	MR1
Two-component system histidine kinase DccS	MR1
Two-component system histidine kinase RacS	MR1
Two-component system response regulator QseB	MR1
Type cbb3 cytochrome oxidase biogenesis protein CcoG, involved in Cu oxidation	MR1
Type cbb3 cytochrome oxidase biogenesis protein CcoS, involved in heme b insertion	MR1
Type II secretory pathway, ATPase PulE/Tfp pilus assembly pathway, ATPase PilB	MR1
Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily	MR1
Type III restriction-modification system StyLTI enzyme res (EC 3.1.21.5)	MR1
Type IV fimbriae expression regulatory protein PilR	MR1
Type IV fimbrial assembly protein PilC	MR1
Type IV fimbrial assembly, ATPase PilB	MR1
Type IV fimbrial biogenesis protein FimT	MR1
Type IV fimbrial biogenesis protein PilY1	MR1
Type IV pilin PilA	MR1
Type IV pilus biogenesis protein PilE	MR1
Type IV pilus biogenesis protein PilM	MR1
Type IV pilus biogenesis protein PilN	MR1
Type IV pilus biogenesis protein PilQ	MR1
Type IV secretion system protein VirD4	MR1
Tyrosine recombinase XerC	MR1
Tyrosine-protein kinase Wzc (EC 2.7.10.2)	MR1
Ubiquinone biosynthesis monooxygenase UbiB	MR1
Ubiquinone/menaquinone biosynthesis methyltransferase UbiE (EC 2.1.1.-)	MR1
UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (EC 3.5.1.108)	MR1
UDP-6-deoxy-AltdiNAc hydrolase (PseG, third step of pseudaminic acid biosynthesis)	MR1
UDP-galactose:(galactosyl) LPS alpha1,2-galactosyltransferase WaaW (EC 2.4.1.-)	MR1
UDP-glucose:(heptosyl) LPS alpha1,3-glucosyltransferase WaaG (EC 2.4.1.-)	MR1
UDP-N-acetylglucosamine 4,6-dehydratase (EC 4.2.1.-)	MR1
Uncharacterized ABC transporter, periplasmic component YrbD	MR1
Uncharacterized protein ImpA	MR1
Uncharacterized protein ImpH/VasB	MR1
Uncharacterized protein ImpJ/VasE	MR1
Uncharacterized protein similar to VCA0109	MR1
Uncharacterized protein YrbK clustered with lipopolysaccharide transporters	MR1
Universal stress protein E	MR1
UPF0125 protein yfjF	MR1
UPF0225 protein YchJ	MR1
Uptake hydrogenase small subunit precursor (EC 1.12.99.6)	MR1
Uracil-DNA glycosylase, family 4	MR1
Urea channel UreI	MR1
Uridine diphosphate glucose pyrophosphatase (EC 3.6.1.45)	MR1
V-type ATP synthase subunit G (EC 3.6.3.14)	MR1
Valine--pyruvate aminotransferase (EC 2.6.1.66)	MR1
Vancomycin B-type resistance protein VanW	MR1
Vancomycin response regulator VanR	MR1
Various polyols ABC transporter, ATP-binding component	MR1
Xanthine and CO dehydrogenases maturation factor, XdhC/CoxF family	MR1
Xanthine dehydrogenase iron-sulfur subunit (EC 1.17.1.4)	MR1
Xanthine dehydrogenase, molybdenum binding subunit (EC 1.17.1.4)	MR1
Xanthine phosphoribosyltransferase (EC 2.4.2.22)	MR1
Xanthine-guanine phosphoribosyltransferase (EC 2.4.2.22)	MR1
Xylose ABC transporter, permease component	MR1
Xylose isomerase (EC 5.3.1.5)	MR1
Xyloside transporter XynT	MR1
YafQ toxin protein	MR1
YbbL ABC transporter ATP-binding protein	MR1
YbbM seven transmembrane helix protein	MR1
