Proteins	log fold change (HunterGatherer - HMP)	se	ci.lo.adj	ci.up.adj	p.val	q.val	diff.abn	structural.zero (HMP)	structural.zero (HunterGatherer)	star_up	star_down	L2	L3
Methylmalonyl-CoA mutase (EC 5.4.99.2)	0.737431828653243	0.16359769821564	0.0877074276493749	1.38715622965711	0	0	TRUE	0	0	***	""	Carbohydrates	Propionyl-CoA to Succinyl-CoA Module
Alanine dehydrogenase (EC 1.4.1.1)	0.343901238248141	0.0863125619276639	0.00111293371074023	0.686689542785542	0	0	TRUE	0	0	***	""	Carbohydrates	Pyruvate Alanine Serine Interconversions
Oxaloacetate decarboxylase gamma chain (EC 4.1.1.3)	0.65951622759538	0.21933809076979	-0.21157982813818	1.53061228332894	0.005	0.00954545454545455	TRUE	0	0	**	""	Carbohydrates	Pyruvate metabolism I: anaplerotic reactions, PEP
NAD-dependent protein deacetylase of SIR2 family	0.0677333738625698	0.0450616045855538	-0.111227726244297	0.246694473969436	0	0	TRUE	0	0	***	""	Carbohydrates	Pyruvate metabolism II: acetyl-CoA, acetogenesis from pyruvate
PTS system, sucrose-specific IIB component (EC 2.7.1.69)	0.16658585523373	0.0941180209105914	-0.207201645609955	0.540373356077414	0.02	0.0329216152019002	TRUE	0	0	*	""	Carbohydrates	Sucrose utilization
Xylose isomerase (EC 5.3.1.5)	0.243395445507685	0.160250309285828	-0.393034879289301	0.879825770304672	0	0	TRUE	0	0	***	""	Carbohydrates	Sugar utilization in Thermotogales
Cell division protein FtsK	0.0196226919514952	0.048224074917505	-0.171898084511032	0.211143468414022	0.005	0.00954545454545455	TRUE	0	0	**	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Cell division protein FtsW	0.0367190209400512	0.0680091810647937	-0.233377838074695	0.306815879954797	0	0	TRUE	0	0	***	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Cell division protein FtsZ (EC 3.4.24.-)	0.169294096350747	0.0286548445193127	0.0554920569930222	0.283096135708471	0	0	TRUE	0	0	***	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Chromosome (plasmid) partitioning protein ParA	0.128406111325787	0.0684508048544097	-0.1434446461564	0.400256868807974	0.101	0.134343570057582	FALSE	0	0	""	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Z-ring-associated protein ZapA	0.289026824643115	0.250389599408734	-0.705389565488499	1.28344321477473	0.454	0.497819620253165	FALSE	0	0	""	""	Cell Division and Cell Cycle	Bacterial Cytoskeleton
Phosphoglucosamine mutase (EC 5.4.2.10)	0.0488645220452817	0.0395339956066389	-0.108143809336959	0.205872853427522	0	0	TRUE	0	0	***	""	Cell Division and Cell Cycle	Diadenylate cyclase cluster
RNA polymerase sigma factor RpoD	0.127751899332962	0.0349920665482325	-0.0112182678876689	0.266722066553593	0.001	0.00225732899022801	TRUE	0	0	**	""	Cell Division and Cell Cycle	Macromolecular synthesis operon
TsaD/Kae1/Qri7 protein, required for threonylcarbamoyladenosine t(6)A37 formation in tRNA	0.115130843668686	0.0325333187132675	-0.0140744645000378	0.244336151837409	0	0	TRUE	0	0	***	""	Cell Division and Cell Cycle	Macromolecular synthesis operon
Ribosomal large subunit pseudouridine synthase B (EC 4.2.1.70)	0.0930545611439983	0.0828878403717435	-0.236132542485352	0.422241664773349	0.445	0.4895	FALSE	0	0	""	""	Cell Division and Cell Cycle	Two cell division clusters relating to chromosome partitioning
Signal recognition particle receptor protein FtsY (=alpha subunit) (TC 3.A.5.1.1)	0.0887899554261473	0.0368242156781528	-0.0574565488638364	0.235036459716131	0.006	0.0112989130434783	TRUE	0	0	*	""	Cell Division and Cell Cycle	Two cell division clusters relating to chromosome partitioning
Signal recognition particle, subunit Ffh SRP54 (TC 3.A.5.1.1)	0.0397420819550813	0.0248876587955753	-0.0590986681270485	0.138582832037211	0.121	0.156734579439252	FALSE	0	0	""	""	Cell Division and Cell Cycle	Two cell division clusters relating to chromosome partitioning
dTDP-4-dehydrorhamnose 3,5-epimerase (EC 5.1.3.13)	0.17667454694034	0.0850443402867605	-0.161077045253529	0.514426139134209	0.001	0.00225732899022801	TRUE	0	0	**	""	Cell Wall and Capsule	Capsular heptose biosynthesis
Capsular polysaccharide export system inner membrane protein KpsE	0.974229171184733	0.325156209827538	-0.317121049308088	2.26557939167756	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Capsular Polysaccharide (CPS) of Campylobacter
Capsular polysaccharide biosynthesis protein CapD	0.546591068177877	0.298362492221694	-0.638348534610669	1.73153067096642	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Capsular Polysaccharides Biosynthesis and Assembly
Capsular polysaccharide export system protein KpsC	0.819206578589756	0.343060764750762	-0.543251159610308	2.18166431678982	0.048	0.0695899581589958	FALSE	0	0	""	""	Cell Wall and Capsule	Capsular Polysaccharides Biosynthesis and Assembly
Capsular polysaccharide export system protein KpsS	0.727865133268332	0.231058646458602	-0.189778833025122	1.64550909956179	0.005	0.00954545454545455	TRUE	0	0	**	""	Cell Wall and Capsule	Capsular Polysaccharides Biosynthesis and Assembly
Sialic acid biosynthesis protein NeuD, O-acetyltransferase	1.22050332541622	0.39293248101945	-0.340018758022963	2.7810254088554	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	CMP-N-acetylneuraminate Biosynthesis
dTDP-glucose 4,6-dehydratase (EC 4.2.1.46)	0.104876479003533	0.0491116361859406	-0.0901692261088362	0.299922184115902	0.031	0.0487142857142857	TRUE	0	0	*	""	Cell Wall and Capsule	dTDP-rhamnose synthesis
Legionaminic acid biosynthesis protein PtmA	0.480526889384671	0.276419292796619	-0.617265814284471	1.57831959305381	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Legionaminic Acid Biosynthesis
Legionaminic acid synthase (EC 2.5.1.56)	0.0425833100004747	0.313899021684955	-1.20405925321659	1.28922587321754	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Legionaminic Acid Biosynthesis
Outer membrane lipoprotein LolB precursor	0.606240142225858	0.183416091836946	-0.122192541748405	1.33467282620012	0.001	0.00225732899022801	TRUE	0	0	**	""	Cell Wall and Capsule	Lipopolysaccharide assembly
D-alanyl-D-alanine carboxypeptidase (EC 3.4.16.4)	0.0974548564054203	0.0517071238405516	-0.107898766728401	0.302808479539241	0.105	0.138864503816794	FALSE	0	0	""	""	Cell Wall and Capsule	Murein Hydrolases
Malonyl CoA-acyl carrier protein transacylase (EC 2.3.1.39)	0.0728659840443253	0.0732755828771796	-0.218146265592163	0.363878233680814	0.05	0.0717391304347826	FALSE	0	0	""	""	Cell Wall and Capsule	mycolic acid synthesis
N-acetylglucosamine-1-phosphate uridyltransferase (EC 2.7.7.23)	0.0199093492582048	0.0606370297202295	-0.220909184519084	0.260727883035493	0.588	0.622112977099237	FALSE	0	0	""	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
UDP-N-acetylmuramate--alanine ligase (EC 6.3.2.8)	0.0214019501317466	0.027028201383085	-0.0859399143649626	0.128743814628456	0.001	0.00225732899022801	TRUE	0	0	**	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
UDP-N-acetylmuramoylalanyl-D-glutamate--2,6-diaminopimelate ligase (EC 6.3.2.13)	0.281745599342436	0.076114191169382	-0.0205401161951728	0.584031314880045	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Peptidoglycan Biosynthesis
Choline kinase (EC 2.7.1.32)	0.165405807097716	0.110818197100384	-0.274706049711358	0.605517663906789	0.264	0.310614601018676	FALSE	0	0	""	""	Cell Wall and Capsule	Phosphorylcholine incorporation in LPS
N-Acetyltransferase PseH involved in the biosynthesis of pseudaminic acid	1.46735489638342	0.292205818137304	0.306866379553207	2.62784341321363	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Pseudaminic Acid Biosynthesis
Teichoic acid export ATP-binding protein TagH (EC 3.6.3.40)	0.431742126869265	0.102940787599223	0.0229152161531239	0.840569037585406	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Rhamnose containing glycans
Putative CDP-glycerol:glycerophosphate glycerophosphotransferase (EC 2.7.8.-)	0.256117337907024	0.34965770991391	-1.13254001245954	1.64477468827358	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Teichoic and lipoteichoic acids biosynthesis
Putative CDP-glycosylpolyol phosphate:glycosylpolyol glycosylpolyolphosphotransferase	0.436666609109361	0.270873633748833	-0.639101640412234	1.51243485863096	0	0	TRUE	0	0	***	""	Cell Wall and Capsule	Teichoic and lipoteichoic acids biosynthesis
Low molecular weight protein tyrosine phosphatase (EC 3.1.3.48)	0.0631352205808557	0.0666498932161373	-0.201563258793511	0.327833699955223	0.547	0.585890262751159	FALSE	0	0	""	""	Cell Wall and Capsule	Vibrio Polysaccharide (VPS) Biosynthesis
NAD(P)HX dehydratase	0.176168977493129	0.108361869705252	-0.25418763298376	0.606525587970018	0.193	0.234647368421053	FALSE	0	0	""	""	Cell Wall and Capsule	YjeE
Acetyl-coenzyme A carboxyl transferase alpha chain (EC 6.4.1.2)	0.213378322318373	0.05952156088537	-0.0230101532828382	0.449766797919585	0	0	TRUE	0	0	***	""	Central metabolism	EC 6.4.1.- Ligases that form carbon-carbon bonds
Adenosylcobinamide-phosphate guanylyltransferase (EC 2.7.7.62)	0.157959139700022	0.104323560571675	-0.256359421271896	0.57227770067194	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	B12 Biosynthesis (Tavares copy1)
Cobalamin synthase	0.151456565199692	0.0952426869206314	-0.22679752018444	0.529710650583824	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	B12 Biosynthesis (Tavares copy1)
Cobalt-precorrin-6x reductase (EC 1.3.1.54)	0.355846870748294	0.100639443447347	-0.043840305931914	0.755534047428501	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	B12 Biosynthesis (Tavares copy1)
Cobalt-precorrin-8x methylmutase (EC 5.4.1.2)	0.469466813350007	0.0782743766198558	0.158601972230714	0.780331654469299	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	B12 Biosynthesis (Tavares copy1)
Lipoate-protein ligase A	0.531228292497736	0.0828858864682442	0.202048948750061	0.860407636245411	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	BEY LIP
Pyridoxal kinase (EC 2.7.1.35)	0.156134492860303	0.0781346313561059	-0.154175353239052	0.466444338959657	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	BEY LIP
Biotin synthase (EC 2.8.1.6)	0.158820642391889	0.067158343214278	-0.107897134161384	0.425538418945162	0.033	0.0511610738255034	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin biosynthesis
Substrate-specific component BioY of biotin ECF transporter	0.0969056333867586	0.0674581562010055	-0.171002843374032	0.364814110147549	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin biosynthesis
Biotin carboxylase of acetyl-CoA carboxylase (EC 6.3.4.14)	0.0531155074548479	0.0749326633009166	-0.24447779801232	0.350708812922015	0.032	0.0501719457013575	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Biotin synthesis & utilization
1-deoxy-D-xylulose 5-phosphate synthase (EC 2.2.1.7)	0.0430747859384901	0.0428832430965353	-0.127235002878184	0.213384574755164	0.005	0.00954545454545455	TRUE	0	0	**	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	CLO thiaminPP biosynthesis
ATPase component YkoD of energizing module of thiamin-regulated ECF transporter for HydroxyMethylPyrimidine	0.398321927531408	0.189215667580157	-0.353143634759197	1.14978748982201	0.061	0.0854	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	CLO thiaminPP biosynthesis
Hydroxymethylpyrimidine ABC transporter, transmembrane component	0.143443145618331	0.0719274402064059	-0.142214987188948	0.429101278425611	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	CLO thiaminPP biosynthesis
Hypothetical radical SAM family enzyme in heat shock gene cluster, similarity with CPO of BS HemN-type	0.00661802265123868	0.0758695462201827	-0.294696091239093	0.30793213654157	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Experimental tye
Iron-sulfur cluster assembly protein SufB	0.135302296367048	0.0512726359926803	-0.0683257685237136	0.338930361257809	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Fe-S cluster assembly
Thymidine kinase (EC 2.7.1.21)	0.13258344337275	0.0570045468391046	-0.0938087702922305	0.35897565703773	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Folate Biosynthesis
Inosine-5'-monophosphate dehydrogenase (EC 1.1.1.205)	0.0514069066615335	0.0437483156957603	-0.122338497585472	0.225152310908539	0.365	0.413308823529412	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Methanofuran
ADP-ribose pyrophosphatase (EC 3.6.1.13)	0.00573957661093605	0.0506408859787252	-0.195379507995395	0.206858661217267	0.505	0.5468203125	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
DNA ligase (EC 6.5.1.2)	0.00788006181880263	0.0388971967335536	-0.146599237854019	0.162359361491624	0.68	0.710769230769231	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
NAD synthetase (EC 6.3.1.5)	0.233341856255855	0.0519171374950016	0.0271541688452839	0.439529543666426	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	0.109501987806357	0.0405875650857798	-0.0516905699202445	0.270694545532959	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	NAD and NADP cofactor biosynthesis global
Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	0.0258028161158306	0.0830091034225229	-0.303865880860437	0.355471513092098	0	0	TRUE	0	0	***	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Pyridoxin (Vitamin B6) Biosynthesis
tRNA-guanine transglycosylase (EC 2.4.2.29)	0.0752759780774248	0.0303833847542309	-0.045390918066139	0.195942874220989	0.01	0.018	TRUE	0	0	*	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	Queuosine HMP
Amidophosphoribosyltransferase (EC 2.4.2.14)	0.060275681086841	0.0349076071689797	-0.0783590577005497	0.198910419874232	0.106	0.13992	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
Anaerobic dimethyl sulfoxide reductase chain B (EC 1.8.5.3)	0.51838130198135	0.287864343232313	-0.624865149631046	1.66162775359375	0.153	0.194192307692308	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
Aspartate carbamoyltransferase (EC 2.1.3.2)	0.0198074511632793	0.038836716309455	-0.134431651931299	0.174046554257857	0.438	0.483334394904459	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
Dihydroorotase (EC 3.5.2.3)	0.00762211213973529	0.0399433241957819	-0.151011858082754	0.166256082362225	0.096	0.128184971098266	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
NADH-ubiquinone oxidoreductase chain F (EC 1.6.5.3)	0.349933981552907	0.12588805451632	-0.150027458652361	0.849895421758176	0.001	0.00225732899022801	TRUE	0	0	**	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
Orotate phosphoribosyltransferase (EC 2.4.2.10)	0.0542372855752902	0.0276869107140466	-0.0557206274976687	0.164195198648249	0.044	0.0648765957446808	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
Phosphoribosylformylglycinamidine cyclo-ligase (EC 6.3.3.1)	0.044956492056679	0.034825315491562	-0.0933514272741976	0.183264411387555	0.263	0.309964285714286	FALSE	0	0	""	""	Cofactors, Vitamins, Prosthetic Groups, Pigments	YgfZ
DNA polymerase I (EC 2.7.7.7)	0.0867281720185993	0.0572716778824684	-0.140724946286435	0.314181290323633	0.001	0.00225732899022801	TRUE	0	0	**	""	DNA Metabolism	DNA Repair Base Excision
Single-stranded-DNA-specific exonuclease RecJ (EC 3.1.-.-)	0.133962255242045	0.0928712591250224	-0.234873760567568	0.502798271051658	0.25	0.296153846153846	FALSE	0	0	""	""	DNA Metabolism	DNA Repair Base Excision
Uracil-DNA glycosylase, family 1	0.00626089195607182	0.0521513711216073	-0.200857048779584	0.213378832691728	0.139	0.178053604436229	FALSE	0	0	""	""	DNA Metabolism	DNA Repair Base Excision
Exodeoxyribonuclease VII large subunit (EC 3.1.11.6)	0.0459086940201274	0.0531741159188109	-0.165271053562389	0.257088441602644	0.545	0.584651702786378	FALSE	0	0	""	""	DNA Metabolism	DNA repair, bacterial
RecA protein	0.0559378900228573	0.0251710565045004	-0.0440283673780525	0.155904147423767	0.023	0.0374154929577465	TRUE	0	0	*	""	DNA Metabolism	DNA repair, bacterial
DinG family ATP-dependent helicase YoaA	0.168461697028114	0.0811477408887527	-0.153814642534232	0.49073803659046	0	0	TRUE	0	0	***	""	DNA Metabolism	DNA repair, bacterial DinG and relatives
DNA mismatch repair protein MutL	0.0385358318564872	0.0805851895520488	-0.281506348336501	0.358578012049476	0.805	0.82383185840708	FALSE	0	0	""	""	DNA Metabolism	DNA repair, bacterial MutL-MutS system
DNA mismatch repair protein MutS	0.0537752643217075	0.0770149409417423	-0.25208775769811	0.359638286341525	0.542	0.583239130434783	FALSE	0	0	""	""	DNA Metabolism	DNA repair, bacterial MutL-MutS system
DNA helicase IV	1.02187996428243	0.331625819183364	-0.295164157220551	2.33892408578542	0	0	TRUE	0	0	***	""	DNA Metabolism	DNA repair, bacterial UvrD and related helicases
putative ATP-dependent DNA helicase YjcD	0.461147137981918	0.435033983640589	-1.26658007040851	2.18887434637235	0	0	TRUE	0	0	***	""	DNA Metabolism	DNA repair, bacterial UvrD and related helicases
Excinuclease ABC subunit A	0.0828690146974918	0.0238835664513429	-0.0119840063149475	0.177722035709931	0	0	TRUE	0	0	***	""	DNA Metabolism	DNA repair, UvrABC system
Excinuclease ABC subunit B	0.0642326796383657	0.0245381716708888	-0.0332200905686059	0.161685449845337	0.001	0.00225732899022801	TRUE	0	0	**	""	DNA Metabolism	DNA repair, UvrABC system
Similar to C-terminal Zn-finger domain of DNA topoisomerase I	0.412060397980034	0.171159743485009	-0.267696487506156	1.09181728346622	0	0	TRUE	0	0	***	""	DNA Metabolism	DNA topoisomerases, Type I, ATP-independent
DNA gyrase subunit A (EC 5.99.1.3)	0.0355108131667414	0.0278168260734914	-0.0749630556929863	0.145984682026469	0.165	0.206398916967509	FALSE	0	0	""	""	DNA Metabolism	DNA topoisomerases, Type II, ATP-dependent
DNA gyrase subunit B (EC 5.99.1.3)	0.0729401766588342	0.023973926440166	-0.0222717069186236	0.168152060236292	0	0	TRUE	0	0	***	""	DNA Metabolism	DNA topoisomerases, Type II, ATP-dependent
ATP-dependent DNA helicase RecG (EC 3.6.1.-)	0.16952800014597	0.0477178913521243	-0.0199824802219169	0.359038480513857	0	0	TRUE	0	0	***	""	DNA Metabolism	DNA-replication
Crossover junction endodeoxyribonuclease RuvC (EC 3.1.22.4)	0.0618953506401923	0.0562218754801903	-0.161388502177417	0.285179203457802	0.005	0.00954545454545455	TRUE	0	0	**	""	DNA Metabolism	DNA-replication
DNA polymerase III alpha subunit (EC 2.7.7.7)	0.0403918710721438	0.0475179200247446	-0.148324427884166	0.229108170028453	0.002	0.00421276595744681	TRUE	0	0	**	""	DNA Metabolism	DNA-replication
Holliday junction DNA helicase RuvB	0.108030655807005	0.0276218442354993	-0.00166884728060193	0.217730158894611	0	0	TRUE	0	0	***	""	DNA Metabolism	DNA-replication
Primosomal protein I	1.14912692361761	0.345308140782241	-0.222256215500733	2.52051006273596	0	0	TRUE	0	0	***	""	DNA Metabolism	DNA-replication
Transcription-repair coupling factor	0.0549894226324348	0.0299056305372707	-0.063780083903407	0.173758929168277	0	0	TRUE	0	0	***	""	DNA Metabolism	DNA-replication
Type I restriction-modification system, DNA-methyltransferase subunit M (EC 2.1.1.72)	0.110567785810668	0.099724708411394	-0.285486542242732	0.506622113864068	0.47	0.512929133858268	FALSE	0	0	""	""	DNA Metabolism	Restriction-Modification System
Type I restriction-modification system, restriction subunit R (EC 3.1.21.3)	0.268198896556365	0.117482377300056	-0.19837959478143	0.73477738789416	0.001	0.00225732899022801	TRUE	0	0	**	""	DNA Metabolism	Restriction-Modification System
RNA polymerase sporulation specific sigma factor SigF	1.51263136976426	0.239645938025005	0.56088317749403	2.46437956203449	0	0	TRUE	0	0	***	""	Dormancy and Sporulation	Sporulation gene orphans
RNA polymerase sporulation specific sigma factor SigG	1.33602418370533	0.323783561798509	0.0501254024942206	2.62192296491645	0	0	TRUE	0	0	***	""	Dormancy and Sporulation	Sporulation gene orphans
Peptidyl-tRNA hydrolase (EC 3.1.1.29)	0.0408239362016003	0.0596450417408955	-0.196054940705784	0.277702813108984	0	0	TRUE	0	0	***	""	Dormancy and Sporulation	Sporulation-associated proteins with broader functions
(2E,6E)-farnesyl diphosphate synthase (EC 2.5.1.10)	0.873957624040274	0.366681622438556	-0.582309793512187	2.33022504159274	0.019	0.0315755395683453	TRUE	0	0	*	""	Fatty Acids, Lipids, and Isoprenoids	Archaeal lipids
1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase (EC 1.17.7.1)	0.134027917323916	0.0565807530636312	-0.0906812093543773	0.358737044002209	0.014	0.0240148514851485	TRUE	0	0	*	""	Fatty Acids, Lipids, and Isoprenoids	Isoprenoid Biosynthesis
4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)	0.0452303365127946	0.14049388980025	-0.512737834132556	0.603198507158145	0.867	0.877125547445255	FALSE	0	0	""	""	Fatty Acids, Lipids, and Isoprenoids	Isoprenoid Biosynthesis
Monoglyceride lipase (EC 3.1.1.23)	0.232531727532001	0.115946241230076	-0.22794603562432	0.693009490688321	0	0	TRUE	0	0	***	""	Fatty Acids, Lipids, and Isoprenoids	Triacylglycerol metabolism
Ferrous iron transport protein B	0.00546729302990912	0.0614782546362891	-0.238692145666322	0.24962673172614	0	0	TRUE	0	0	***	""	Iron acquisition and metabolism	Campylobacter Iron Metabolism
Ferrous iron transport permease EfeU	0.357148531528066	0.112494255184826	-0.0896197504437023	0.803916813499833	0.002	0.00421276595744681	TRUE	0	0	**	""	Iron acquisition and metabolism	Ferrous iron transporter EfeUOB, low-pH-induced
Putative ABC transporter (ATP-binding protein), spy1791 homolog	0.388490002739081	0.392249633109376	-1.16932016632607	1.94630017180423	0.342	0.390454695222405	FALSE	0	0	""	""	Iron acquisition and metabolism	Heme, hemin uptake and utilization systems in GramPositives
Oligopeptide ABC transporter, periplasmic oligopeptide-binding protein OppA (TC 3.A.1.5.1)	0.164856134873832	0.0864247284899222	-0.17837763652081	0.508089906268473	0	0	TRUE	0	0	***	""	Membrane Transport	ABC transporter oligopeptide (TC 3.A.1.5.1)
Oligopeptide transport ATP-binding protein OppF (TC 3.A.1.5.1)	0.277676253392437	0.0925672399521929	-0.0899523574407317	0.645304864225606	0	0	TRUE	0	0	***	""	Membrane Transport	ABC transporter oligopeptide (TC 3.A.1.5.1)
Oligopeptide transport system permease protein OppB (TC 3.A.1.5.1)	0.15659473683326	0.104143341283503	-0.257008087485064	0.570197561151584	0.24	0.285773195876289	FALSE	0	0	""	""	Membrane Transport	ABC transporter oligopeptide (TC 3.A.1.5.1)
Oligopeptide transport system permease protein OppC (TC 3.A.1.5.1)	0.215634120307779	0.0982587530942509	-0.174598200769253	0.60586644138481	0.053	0.0757298969072165	FALSE	0	0	""	""	Membrane Transport	ABC transporter oligopeptide (TC 3.A.1.5.1)
Peptide transport system ATP-binding protein SapF	0.853027596220005	0.193495037573147	0.0845666169052309	1.62148857553478	0	0	TRUE	0	0	***	""	Membrane Transport	Peptide ABC transport system Sap
Type IV secretion system protein VirD4	1.33944668253579	0.467690890013172	-0.517976659498269	3.19687002456985	0	0	TRUE	0	0	***	""	Membrane Transport	pVir Plasmid of Campylobacter
ClpB protein	0.0562452560042157	0.0287105838754361	-0.057778150892078	0.170268662900509	0.043	0.0636730769230769	FALSE	0	0	""	""	Membrane Transport	T6SS BR
Type IV fimbrial biogenesis protein PilW	1.44745812126633	0.452038187044905	-0.347800880003327	3.24271712253599	0	0	TRUE	0	0	***	""	Membrane Transport	Type IV pilus
Type IV fimbrial biogenesis protein PilX	1.25638339275529	0.401269906486219	-0.337250579337551	2.85001736484814	0	0	TRUE	0	0	***	""	Membrane Transport	Type IV pilus
Type IV pilus biogenesis protein PilO	1.17697233220922	0.412560400243234	-0.461501569621778	2.81544623404023	0	0	TRUE	0	0	***	""	Membrane Transport	Type IV pilus
Type IV pilus biogenesis protein PilP	1.4563065663126	0.301632244912453	0.258381217809995	2.65423191481521	0	0	TRUE	0	0	***	""	Membrane Transport	Type IV pilus
Type II/IV secretion system ATP hydrolase TadA/VirB11/CpaF, TadA subfamily	0.627204196280998	0.127777540214145	0.119738708178879	1.13466968438312	0	0	TRUE	0	0	***	""	Membrane Transport	Widespread colonization island
tRNA nucleotidyltransferase (EC 2.7.7.21) (EC 2.7.7.25)	0.0220526658642317	0.0553597510154524	-0.197807279969648	0.241912611698112	0.001	0.00225732899022801	TRUE	0	0	**	""	Miscellaneous	At2g33980 At1g28960
Cysteinyl-tRNA synthetase (EC 6.1.1.16)	0.04913733313556	0.0407616798204721	-0.112746717154432	0.211021383425552	0	0	TRUE	0	0	***	""	Miscellaneous	Conserved gene cluster possibly involved in RNA metabolism
CTP synthase (EC 6.3.4.2)	0.0296731905518097	0.0579409887196615	-0.200438079961499	0.259784461065119	0.001	0.00225732899022801	TRUE	0	0	**	""	Miscellaneous	EC 6.3.4.- Ligases that form carbon-nitrogen bonds
Phosphoribosylamine--glycine ligase (EC 6.3.4.13)	0.0402250893163263	0.0338243200526003	-0.0941074002311203	0.174557578863773	0.316	0.36498	FALSE	0	0	""	""	Miscellaneous	EC 6.3.4.- Ligases that form carbon-nitrogen bonds
LSU ribosomal protein L27p	0.00288576109413086	0.0264938290391609	-0.102333856238615	0.108105378426877	0.09	0.12181640625	FALSE	0	0	""	""	Miscellaneous	IojapClusters
Glutamate N-acetyltransferase (EC 2.3.1.35) / N-acetylglutamate synthase (EC 2.3.1.1)	0.643649263113712	0.0944074760846974	0.26871219787111	1.01858632835631	0	0	TRUE	0	0	***	""	Miscellaneous	Omega-amidase KE2
Threonyl-tRNA synthetase (EC 6.1.1.3)	0.0728487635940365	0.0283906854004128	-0.0399041740515678	0.185601701239641	0.005	0.00954545454545455	TRUE	0	0	**	""	Miscellaneous	YebC
ATP synthase alpha chain (EC 3.6.3.14)	0.0615810197417179	0.0302348976254176	-0.0584961632709322	0.181658202754368	0.044	0.0648765957446808	FALSE	0	0	""	""	Mitochondrial electron transport system in plants	F0F1-type ATP synthase in plants (mitochondrial)
ATP synthase beta chain (EC 3.6.3.14)	0.117139870142665	0.026750036431162	0.0109027311936847	0.223377009091646	0	0	TRUE	0	0	***	""	Mitochondrial electron transport system in plants	F0F1-type ATP synthase in plants (mitochondrial)
ATP synthase gamma chain (EC 3.6.3.14)	0.0382132570930409	0.0342286901536499	-0.0977251787761078	0.17415169296219	0.01	0.018	TRUE	0	0	*	""	Mitochondrial electron transport system in plants	F0F1-type ATP synthase in plants (mitochondrial)
